trade_num,signal,date_and_time,pnl_uncapped,pnl,cap_touched,mae
1,Long,2022-01-04 10:15,-2016.5900,-2016.5900,False,-2016.5900
2,Long,2022-01-07 11:45,-1982.5000,-1982.5000,False,-1982.5000
3,Long,2022-01-28 11:15,76.6800,76.6800,False,-504.3600
4,Long,2022-02-04 09:30,-2070.4400,-2070.4400,False,-2725.5700
5,Long,2022-02-25 10:15,3906.0000,3906.0000,False,-1186.6800
6,Long Add,2022-02-25 11:45,-737.8000,-737.8000,False,-2113.5800
7,Long,2022-03-15 10:30,73.4800,73.4800,False,-1322.6400
8,Long,2022-03-15 12:15,-1976.6300,-1976.6300,False,-1976.6300
9,Long,2022-03-18 10:00,-1958.5800,-1958.5800,False,-1958.5800
10,Long,2022-03-18 12:30,5494.5000,5494.5000,False,-927.0000
11,Long Add,2022-03-18 15:00,10470.0300,10470.0300,False,-725.8800
12,Long,2022-03-25 10:15,70.8700,70.8700,False,-7.4600
13,Long,2022-04-08 10:45,75.0000,75.0000,False,-1342.5000
14,Long,2022-04-19 09:45,74.5200,74.5200,False,-819.7200
15,Long,2022-04-19 10:15,75.0000,75.0000,False,-1855.0000
16,Long,2022-05-03 11:00,79.5800,79.5800,False,-963.6100
17,Long,2022-05-27 09:45,-68.2500,-68.2500,False,-1097.4600
18,Long,2022-05-27 11:15,164.6100,164.6100,False,-661.2300
19,Long,2022-05-31 11:45,78.6900,78.6900,False,-1577.4600
20,Long,2022-06-07 10:30,78.4000,78.4000,False,-754.8800
21,Long,2022-06-21 09:45,617.9000,617.9000,False,-1643.2800
22,Long,2022-06-24 11:30,74.7600,74.7600,False,-1588.6500
23,Long,2022-07-15 10:15,79.5500,79.5500,False,-1391.2000
24,Long,2022-07-19 10:00,2960.9600,2960.9600,False,-705.2800
25,Long Add,2022-07-19 11:30,-1234.2400,-1234.2400,False,-1298.0800
26,Long,2022-07-19 12:30,1343.1600,1343.1600,False,-1368.9900
27,Long Add,2022-07-19 14:00,-4994.8500,-4994.8500,False,-4994.8500
28,Long,2022-07-29 10:15,71.5300,71.5300,False,-1063.6200
29,Long,2022-07-29 12:45,72.7500,72.7500,False,-1504.4700
30,Long,2022-08-02 12:15,-2095.6000,-2095.6000,False,-2095.6000
31,Long,2022-08-12 12:00,4787.3700,4787.3700,False,-60.6900
32,Long Add,2022-08-12 14:30,3943.8000,3943.8000,False,-2716.8400
33,Long,2022-08-16 09:45,71.2000,71.2000,False,-2345.1500
34,Long,2022-08-16 11:15,1818.6300,1818.6300,False,-261.3600
35,Long,2022-09-02 10:30,81.5100,81.5100,False,-1519.4300
36,Long,2022-10-04 09:45,78.9000,78.9000,False,-97.3100
37,Long,2022-10-11 10:30,2833.6000,2833.6000,False,-934.0800
38,Long,2022-10-11 12:30,-2210.7600,-2210.7600,False,-2210.7600
39,Long,2022-10-21 09:45,82.5600,82.5600,False,-502.2400
40,Long,2022-10-21 12:45,5570.7300,5570.7300,False,-844.5600
41,Long Add,2022-10-21 15:15,6956.3400,6956.3400,False,-3857.4600
42,Long,2022-10-25 11:30,-2318.2000,-2318.2000,False,-2318.2000
43,Long,2022-10-28 10:45,85.5600,85.5600,False,-1175.5200
44,Long,2022-10-28 12:15,2972.9000,2972.9000,False,-865.8300
45,Long Add,2022-10-28 14:30,1194.7700,1194.7700,False,-2678.7200
46,Long,2022-11-04 10:00,307.9800,307.9800,False,-959.3400
47,Long,2022-11-08 10:15,1655.1900,1655.1900,False,-700.9400
48,Long,2022-11-08 11:30,84.0000,84.0000,False,-741.0000
49,Long,2022-11-22 10:00,78.4700,78.4700,False,-1532.2300
50,Long,2022-11-25 09:45,70.4000,70.4000,False,-44.8000
51,Long,2022-11-29 10:15,-2366.5400,-2366.5400,False,-2366.5400
52,Long,2022-12-20 10:15,82.9400,82.9400,False,-5.7200
53,Long,2023-01-06 08:45,-2339.3000,-2339.3000,False,-2449.5600
54,Long,2023-01-06 10:30,696.0000,696.0000,False,-81.7800
55,Long,2023-01-13 10:15,82.6500,82.6500,False,-1573.2000
56,Long,2023-01-20 11:00,81.5400,81.5400,False,-610.0400
57,Long,2023-01-24 10:30,82.6200,82.6200,False,-587.5200
58,Long,2023-02-03 10:30,-55.4400,-55.4400,False,-1760.2200
59,Long,2023-02-10 10:00,81.1200,81.1200,False,-177.8400
60,Long,2023-03-03 11:15,80.9600,80.9600,False,-412.1600
61,Long,2023-03-03 11:45,3677.9800,3677.9800,False,-975.7200
62,Long Add,2023-03-03 14:15,1675.3200,1675.3200,False,-1541.7800
63,Long,2023-03-24 11:45,90.2400,90.2400,False,-1635.8400
64,Long,2023-03-28 10:00,-2386.8000,-2386.8000,False,-2386.8000
65,Long,2023-03-31 11:00,3756.8300,3756.8300,False,-549.7800
66,Long,2023-04-11 10:15,-3176.9600,-3176.9600,False,-3690.8800
67,Long,2023-04-11 11:15,943.9200,943.9200,False,-1759.5900
68,Long,2023-04-28 09:45,4699.6200,4699.6200,False,-179.8200
69,Long,2023-04-28 11:45,85.2800,85.2800,False,-482.1600
70,Long,2023-04-28 12:45,-2419.2000,-2419.2000,False,-2419.2000
71,Long,2023-05-09 09:45,-3546.8700,-3546.8700,False,-4308.9600
72,Long,2023-05-26 10:15,-2351.9700,-2351.9700,False,-2351.9700
73,Long,2023-06-02 10:00,7766.2500,7766.2500,False,-2001.2400
74,Long Add,2023-06-02 11:30,12227.0200,12227.0200,False,-3062.4900
75,Long,2023-06-06 10:45,-2991.4500,-2991.4500,False,-2991.4500
76,Long,2023-06-09 10:00,75.4000,75.4000,False,-997.6000
77,Long,2023-06-27 11:30,3221.6400,3221.6400,False,-1375.3200
78,Long Add,2023-06-27 13:15,1831.5000,1831.5000,False,-214.5000
79,Long,2023-07-07 12:30,84.2400,84.2400,False,-1212.1200
80,Long,2023-07-11 11:45,82.4000,82.4000,False,-10.3000
81,Long,2023-07-18 09:45,81.4400,81.4400,False,-81.4400
82,Long,2023-07-18 10:15,5963.7000,5963.7000,False,-654.0500
83,Long Add,2023-07-18 11:45,-6022.0200,-6022.0200,False,-6022.0200
84,Long,2023-07-25 11:30,72.5000,72.5000,False,-1131.0000
85,Long,2023-07-25 12:45,73.4000,73.4000,False,-2077.2200
86,Long,2023-08-01 09:45,-2863.2200,-2863.2200,False,-2863.2200
87,Long,2023-08-04 10:30,44.0700,44.0700,False,-1572.9600
88,Long,2023-08-04 12:30,-2531.6900,-2531.6900,False,-2531.6900
89,Long,2023-08-11 10:15,87.3600,87.3600,False,-924.5600
90,Long,2023-08-18 11:00,87.1700,87.1700,False,-2471.0800
91,Long,2023-08-29 10:00,79.3500,79.3500,False,-1026.2600
92,Long,2023-08-29 11:30,85.0000,85.0000,False,-1215.5000
93,Long,2023-09-08 10:00,766.2500,766.2500,False,-796.9000
94,Long,2023-09-12 11:15,7837.3200,7837.3200,False,-10.8400
95,Long Add,2023-09-12 12:45,11742.0000,11742.0000,False,-1577.0000
96,Long,2023-10-06 11:15,2711.3600,2711.3600,False,-4.5800
97,Long,2023-10-10 10:00,90.4400,90.4400,False,-347.4800
98,Long,2023-10-10 11:00,95.2600,95.2600,False,-1121.4700
99,Long,2023-10-10 11:45,-2747.7000,-2747.7000,False,-2747.7000
100,Long,2023-10-17 11:15,3889.9200,3889.9200,False,-238.0800
101,Long,2023-10-31 12:30,366.7600,366.7600,False,-927.2800
102,Long,2023-11-03 12:00,94.2000,94.2000,False,-485.1300
103,Long,2023-11-07 10:00,3216.9300,3216.9300,False,-1516.2600
104,Long,2023-11-07 11:30,-2802.8800,-2802.8800,False,-2924.4800
105,Long,2023-11-14 10:15,496.4000,496.4000,False,-467.2000
106,Long,2023-11-24 10:15,76.4000,76.4000,False,-1528.0000
107,Long,2023-11-28 10:30,1139.0600,1139.0600,False,-2877.9800
108,Long,2023-12-01 11:30,94.0800,94.0800,False,-1509.7600
109,Long,2023-12-19 09:45,3979.1700,3979.1700,False,-2482.3500
110,Long Add,2023-12-19 11:15,-6510.9400,-6510.9400,False,-6510.9400
111,Long,2024-01-02 11:45,93.2900,93.2900,False,-152.2100
112,Long,2024-01-05 09:15,4744.2200,4744.2200,False,-2590.5600
113,Long,2024-01-26 09:30,-2811.9000,-2811.9000,False,-2811.9000
114,Long,2024-01-26 10:15,1364.8400,1364.8400,False,-160.3000
115,Long,2024-01-30 11:15,1463.0600,1463.0600,False,-474.9200
116,Long,2024-03-01 10:15,83.2000,83.2000,False,-2090.4000
117,Long,2024-03-08 09:45,-2811.0600,-2811.0600,False,-2811.0600
118,Long,2024-03-12 10:30,-2770.2000,-2770.2000,False,-2770.2000
119,Long,2024-03-19 10:30,7671.5800,7671.5800,False,-569.8000
120,Long Add,2024-03-19 12:00,16271.3600,16271.3600,False,-853.5200
121,Long,2024-04-05 10:45,-2991.1200,-2991.1200,False,-2991.1200
