exit_date_ny,guardian_R,guardian_pnl_usd,guardian_n_trades,striker_R,striker_pnl_usd,striker_n_trades,aegis_R,aegis_pnl_usd,aegis_n_trades,portfolio_R
2022-01-04,0.0,0.0,0,-0.14,-2019.03,1,0.0,0.0,0,-0.14
2022-01-07,0.0,0.0,0,-0.23,-1990.64,1,0.0,0.0,0,-0.23
2022-01-12,0.0,0.0,0,0.0,0.0,0,-0.07333333333333333,-3298.59,1,-0.07333333333333333
2022-01-19,0.0,0.0,0,0.0,0.0,0,0.0,-24.36,1,0.0
2022-01-24,5.941176470588235,7014.74,1,0.0,0.0,0,0.0,0.0,0,5.941176470588235
2022-01-28,0.0,0.0,0,0.02,74.16,1,0.0,0.0,0,0.02
2022-02-01,-0.5588235294117647,-758.54,1,0.0,0.0,0,0.0,0.0,0,-0.5588235294117647
2022-02-04,-0.6176470588235293,-702.47,1,-0.31,-1968.43,1,0.0,0.0,0,-0.9276470588235293
2022-02-15,10.352941176470587,13074.9,1,0.0,0.0,0,0.0,0.0,0,10.352941176470587
2022-02-22,-1.3529411764705883,-1486.3899999999999,2,0.0,0.0,0,0.0,0.0,0,-1.3529411764705883
2022-02-25,0.0,0.0,0,0.8500000000000001,2663.04,2,0.0,0.0,0,0.8500000000000001
2022-02-28,0.0,0.0,0,0.0,0.0,0,0.0,-26.56,1,0.0
2022-03-01,0.0,0.0,0,0.0,0.0,0,0.0,2.97,1,0.0
2022-03-08,17.735294117647058,13812.41,1,0.0,0.0,0,0.0,0.0,0,17.735294117647058
2022-03-09,-2.7647058823529407,-785.39,1,0.0,0.0,0,0.0,0.0,0,-2.7647058823529407
2022-03-10,-3.0294117647058822,-1563.36,2,0.0,0.0,0,0.0,0.0,0,-3.0294117647058822
2022-03-15,0.0,0.0,0,-0.39,-1902.28,2,0.0,0.0,0,-0.39
2022-03-18,0.0,0.0,0,-0.26,-1958.88,1,0.0,0.0,0,-0.26
2022-03-20,0.0,0.0,0,1.12,15655.85,2,0.0,0.0,0,1.12
2022-03-25,0.0,0.0,0,0.01,66.65,1,0.0,0.0,0,0.01
2022-04-05,-0.8823529411764705,-778.16,1,0.0,0.0,0,0.0,0.0,0,-0.8823529411764705
2022-04-07,-0.5588235294117647,-776.03,1,0.0,0.0,0,0.0,0.0,0,-0.5588235294117647
2022-04-08,0.0,0.0,0,0.01,73.75,1,0.0,0.0,0,0.01
2022-04-13,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,120.55,1,0.006666666666666667
2022-04-19,0.0,0.0,0,0.02,142.57,2,0.0,0.0,0,0.02
2022-04-24,-1.1470588235294117,-1545.34,1,0.0,0.0,0,0.0,0.0,0,-1.1470588235294117
2022-04-25,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,146.94,1,0.006666666666666667
2022-05-03,0.0,0.0,0,0.01,75.39,1,0.0,0.0,0,0.01
2022-05-09,0.0,0.0,0,0.0,0.0,0,0.0,-46.73,1,0.0
2022-05-11,0.0,0.0,0,0.0,0.0,0,-0.02,-455.61,1,-0.02
2022-05-23,-0.5882352941176471,-767.98,1,0.0,0.0,0,0.0,0.0,0,-0.5882352941176471
2022-05-27,0.0,0.0,0,-0.01,-16.209999999999994,2,0.0,0.0,0,-0.01
2022-05-30,-0.5,-765.59,1,0.0,0.0,0,0.0,0.0,0,-0.5
2022-05-31,0.0,0.0,0,0.01,74.91,1,0.0,0.0,0,0.01
2022-06-07,-0.6176470588235293,-762.84,1,0.01,74.41,1,0.0,0.0,0,-0.6076470588235293
2022-06-21,-1.0294117647058822,-1518.44,2,0.05,503.86,1,0.0,0.0,0,-0.9794117647058822
2022-06-24,0.0,0.0,0,0.01,71.37,1,0.0,0.0,0,0.01
2022-07-15,0.0,0.0,0,0.01,76.2,1,0.0,0.0,0,0.01
2022-07-18,0.0,0.0,0,0.0,0.0,0,0.0,33.74,1,0.0
2022-07-19,0.0,0.0,0,0.22,-2847.1000000000004,4,0.0,0.0,0,0.22
2022-07-25,-0.5882352941176471,-755.11,1,0.0,0.0,0,0.0,0.0,0,-0.5882352941176471
2022-07-26,-0.6470588235294117,-752.47,1,0.0,0.0,0,0.0,0.0,0,-0.6470588235294117
2022-07-28,-0.7941176470588235,-749.6,1,0.0,0.0,0,0.0,0.0,0,-0.7941176470588235
2022-07-29,0.0,0.0,0,0.02,139.99,2,0.0,0.0,0,0.02
2022-08-02,0.0,0.0,0,-0.27,-2079.98,1,0.0,0.0,0,-0.27
2022-08-10,5.941176470588235,6311.44,1,0.0,0.0,0,0.0,0.0,0,5.941176470588235
2022-08-11,-0.6176470588235293,-768.84,1,0.0,0.0,0,0.0,0.0,0,-0.6176470588235293
2022-08-14,0.0,0.0,0,0.48,8173.030000000001,2,0.0,0.0,0,0.48
