date,daily_contrib,rolling_sharpe,strategy,window
2022-05-09,0.0,1.8606137690379756,guardian,90
2022-05-10,0.0,1.8606137690379756,guardian,90
2022-05-11,0.0,1.8606137690379756,guardian,90
2022-05-12,0.0,1.8606137690379756,guardian,90
2022-05-13,0.0,1.8606137690379756,guardian,90
2022-05-16,0.0,1.8606137690379756,guardian,90
2022-05-17,0.0,1.8606137690379756,guardian,90
2022-05-18,0.0,1.8606137690379756,guardian,90
2022-05-19,0.0,1.8606137690379756,guardian,90
2022-05-20,0.0,1.8606137690379756,guardian,90
2022-05-23,-0.002,1.8142383043296024,guardian,90
2022-05-24,0.0,1.8142383043296024,guardian,90
2022-05-25,0.0,1.8142383043296024,guardian,90
2022-05-26,0.0,1.8142383043296024,guardian,90
2022-05-27,0.0,1.8142383043296024,guardian,90
2022-05-30,-0.0017000000000000001,1.3680880223934746,guardian,90
2022-05-31,0.0,1.3680880223934744,guardian,90
2022-06-01,0.0,1.3680880223934744,guardian,90
2022-06-02,0.0,1.3680880223934744,guardian,90
2022-06-03,0.0,1.3680880223934744,guardian,90
2022-06-06,0.0,1.3680880223934744,guardian,90
2022-06-07,-0.0021,1.3632765587418894,guardian,90
2022-06-08,0.0,1.3632765587418894,guardian,90
2022-06-09,0.0,1.3632765587418894,guardian,90
2022-06-10,0.0,1.4132979845604043,guardian,90
2022-06-13,0.0,1.4132979845604043,guardian,90
2022-06-14,0.0,1.4132979845604043,guardian,90
2022-06-15,0.0,1.4132979845604043,guardian,90
2022-06-16,0.0,1.4132979845604043,guardian,90
2022-06-17,0.0,1.4132979845604043,guardian,90
2022-06-20,0.0,1.4132979845604043,guardian,90
2022-06-21,-0.0035,0.5821690003913941,guardian,90
2022-06-22,0.0,0.5821690003913941,guardian,90
2022-06-23,0.0,0.5821690003913941,guardian,90
2022-06-24,0.0,0.5821690003913941,guardian,90
2022-06-27,0.0,0.5821690003913941,guardian,90
2022-06-28,0.0,0.7071666607788984,guardian,90
2022-06-29,0.0,0.7071666607788984,guardian,90
2022-06-30,0.0,0.7071666607788984,guardian,90
2022-07-01,0.0,0.7071666607788984,guardian,90
2022-07-04,0.0,0.7071666607788984,guardian,90
2022-07-05,0.0,0.7071666607788984,guardian,90
2022-07-06,0.0,0.7071666607788984,guardian,90
2022-07-07,0.0,0.7071666607788984,guardian,90
2022-07-08,0.0,0.7071666607788984,guardian,90
2022-07-11,0.0,0.7071666607788984,guardian,90
2022-07-12,0.0,-3.8219293220118833,guardian,90
2022-07-13,0.0,-3.5012259935583465,guardian,90
2022-07-14,0.0,-4.05710298670294,guardian,90
2022-07-15,0.0,-4.05710298670294,guardian,90
2022-07-18,0.0,-4.05710298670294,guardian,90
2022-07-19,0.0,-4.05710298670294,guardian,90
2022-07-20,0.0,-4.05710298670294,guardian,90
2022-07-21,0.0,-4.05710298670294,guardian,90
2022-07-22,0.0,-4.05710298670294,guardian,90
2022-07-25,-0.002,-4.41712429128014,guardian,90
2022-07-26,-0.0021999999999999997,-4.767828441293704,guardian,90
2022-07-27,0.0,-4.767828441293704,guardian,90
2022-07-28,-0.0027,-5.102773753516862,guardian,90
2022-07-29,0.0,-5.102773753516862,guardian,90
2022-08-01,0.0,-5.102773753516862,guardian,90
2022-08-02,0.0,-5.102773753516862,guardian,90
2022-08-03,0.0,-5.102773753516862,guardian,90
