trade_id,strategy,entry_date_ny,exit_date_ny,net_pnl_pct,net_pnl_R,date_ny,adverse_windows_today,has_adverse_today
1,guardian,2022-01-11,2022-01-24,2.02,5.941176470588235,2022-01-24,2,1
2,guardian,2022-02-01,2022-02-01,-0.19,-0.5588235294117647,,0,0
3,guardian,2022-02-03,2022-02-04,-0.21,-0.6176470588235293,,0,0
4,guardian,2022-02-07,2022-02-15,3.52,10.352941176470587,,0,0
5,guardian,2022-02-21,2022-02-22,-0.19,-0.5588235294117647,,0,0
6,guardian,2022-02-22,2022-02-22,-0.27,-0.7941176470588235,,0,0
7,guardian,2022-03-01,2022-03-08,6.03,17.735294117647058,,0,0
8,guardian,2022-03-08,2022-03-09,-0.94,-2.7647058823529407,,0,0
9,guardian,2022-03-10,2022-03-10,-0.5,-1.4705882352941175,,0,0
10,guardian,2022-03-10,2022-03-10,-0.53,-1.5588235294117647,,0,0
11,guardian,2022-04-04,2022-04-05,-0.3,-0.8823529411764705,,0,0
12,guardian,2022-04-07,2022-04-07,-0.19,-0.5588235294117647,,0,0
13,guardian,2022-04-07,2022-04-24,-0.39,-1.1470588235294117,,0,0
14,guardian,2022-05-23,2022-05-23,-0.2,-0.5882352941176471,,0,0
15,guardian,2022-05-30,2022-05-30,-0.17,-0.5,,0,0
16,guardian,2022-06-07,2022-06-07,-0.21,-0.6176470588235293,,0,0
17,guardian,2022-06-20,2022-06-21,-0.13,-0.38235294117647056,,0,0
18,guardian,2022-06-21,2022-06-21,-0.22,-0.6470588235294117,,0,0
19,guardian,2022-07-25,2022-07-25,-0.2,-0.5882352941176471,,0,0
20,guardian,2022-07-26,2022-07-26,-0.22,-0.6470588235294117,,0,0
21,guardian,2022-07-28,2022-07-28,-0.27,-0.7941176470588235,,0,0
22,guardian,2022-07-28,2022-08-10,2.02,5.941176470588235,,0,0
23,guardian,2022-08-11,2022-08-11,-0.21,-0.6176470588235293,,0,0
24,guardian,2022-09-12,2022-09-12,-0.27,-0.7941176470588235,,0,0
25,guardian,2022-09-29,2022-09-29,-0.32,-0.9411764705882353,,0,0
26,guardian,2022-09-29,2022-10-12,1.2,3.529411764705882,,0,0
27,guardian,2022-10-24,2022-10-25,-0.31,-0.9117647058823529,,0,0
28,guardian,2022-10-25,2022-10-28,-0.23,-0.676470588235294,,0,0
29,guardian,2022-11-01,2022-11-02,-0.2,-0.5882352941176471,,0,0
30,guardian,2022-11-07,2022-11-07,-0.24,-0.7058823529411764,,0,0
31,guardian,2022-11-15,2022-11-16,-0.3,-0.8823529411764705,,0,0
32,guardian,2022-11-24,2022-11-24,-0.13,-0.38235294117647056,,0,0
