trade_num,signal,entry_dt_utc,net_pnl_usd,n_entries_that_day,nearest_event_minutes_signed,nearest_event_type,in_window_30,in_window_60,in_window_90,in_window_120,in_window_180
1,Long,2022-01-04 15:15:00,-2016.59,1,-1425,none,False,False,False,False,False
2,Long,2022-01-07 16:45:00,-1982.5,1,195,NFP,False,False,False,False,False
3,Long,2022-01-28 16:15:00,76.68,1,165,PCE,False,False,False,False,True
4,Long,2022-02-04 14:30:00,-2070.44,1,60,NFP,False,True,True,True,True
5,Long,2022-02-25 15:15:00,3906.0,2,105,PCE,False,False,False,True,True
6,Long Add,2022-02-25 16:45:00,-737.8,2,195,PCE,False,False,False,False,False
7,Long,2022-03-15 14:30:00,73.48,2,120,RetailSales,False,False,False,True,True
8,Long,2022-03-15 16:15:00,-1976.63,2,225,RetailSales,False,False,False,False,False
9,Long,2022-03-18 14:00:00,-1958.58,3,4410,none,False,False,False,False,False
10,Long,2022-03-18 16:30:00,5494.5,3,4560,none,False,False,False,False,False
11,Long Add,2022-03-18 19:00:00,10470.03,3,4710,none,False,False,False,False,False
12,Long,2022-03-25 14:15:00,70.87,1,105,PCE,False,False,False,True,True
13,Long,2022-04-08 14:45:00,75.0,1,4365,none,False,False,False,False,False
14,Long,2022-04-19 13:45:00,74.52,2,75,RetailSales,False,False,True,True,True
15,Long,2022-04-19 14:15:00,75.0,2,105,RetailSales,False,False,False,True,True
16,Long,2022-05-03 15:00:00,79.58,1,-1380,none,False,False,False,False,False
17,Long,2022-05-27 13:45:00,-68.25,2,75,PCE,False,False,True,True,True
18,Long,2022-05-27 15:15:00,164.61,2,165,PCE,False,False,False,False,True
19,Long,2022-05-31 15:45:00,78.69,1,-1335,none,False,False,False,False,False
20,Long,2022-06-07 14:30:00,78.4,1,-1320,none,False,False,False,False,False
21,Long,2022-06-21 13:45:00,617.9,1,75,RetailSales,False,False,True,True,True
22,Long,2022-06-24 15:30:00,74.76,1,180,PCE,False,False,False,False,True
23,Long,2022-07-15 14:15:00,79.55,1,1545,none,False,False,False,False,False
24,Long,2022-07-19 14:00:00,2960.96,4,90,RetailSales,False,False,True,True,True
25,Long Add,2022-07-19 15:30:00,-1234.24,4,180,RetailSales,False,False,False,False,True
26,Long,2022-07-19 16:30:00,1343.16,4,240,RetailSales,False,False,False,False,False
27,Long Add,2022-07-19 18:00:00,-4994.85,4,330,none,False,False,False,False,False
28,Long,2022-07-29 14:15:00,71.53,2,105,PCE,False,False,False,True,True
29,Long,2022-07-29 16:45:00,72.75,2,255,none,False,False,False,False,False
30,Long,2022-08-02 16:15:00,-2095.6,1,-1305,none,False,False,False,False,False
31,Long,2022-08-12 16:00:00,4787.37,2,1650,none,False,False,False,False,False
32,Long Add,2022-08-12 18:30:00,3943.8,2,1800,none,False,False,False,False,False
33,Long,2022-08-16 13:45:00,71.2,2,75,RetailSales,False,False,True,True,True
34,Long,2022-08-16 15:15:00,1818.63,2,165,RetailSales,False,False,False,False,True
35,Long,2022-09-02 14:30:00,81.51,1,120,NFP,False,False,False,True,True
36,Long,2022-10-04 13:45:00,78.9,1,1425,none,False,False,False,False,False
37,Long,2022-10-11 14:30:00,2833.6,2,-1320,none,False,False,False,False,False
38,Long,2022-10-11 16:30:00,-2210.76,2,-1200,none,False,False,False,False,False
39,Long,2022-10-21 13:45:00,82.56,3,4395,none,False,False,False,False,False
40,Long,2022-10-21 16:45:00,5570.73,3,4575,none,False,False,False,False,False
41,Long Add,2022-10-21 19:15:00,6956.34,3,4725,none,False,False,False,False,False
42,Long,2022-10-25 15:30:00,-2318.2,1,-2700,none,False,False,False,False,False
43,Long,2022-10-28 14:45:00,85.56,3,135,PCE,False,False,False,False,True
44,Long,2022-10-28 16:15:00,2972.9,3,225,PCE,False,False,False,False,False
45,Long Add,2022-10-28 18:30:00,1194.77,3,360,none,False,False,False,False,False
46,Long,2022-11-04 14:00:00,307.98,1,90,NFP,False,False,True,True,True
47,Long,2022-11-08 15:15:00,1655.19,2,-1335,none,False,False,False,False,False
48,Long,2022-11-08 16:30:00,84.0,2,-1260,none,False,False,False,False,False
49,Long,2022-11-22 15:00:00,78.47,1,-4230,none,False,False,False,False,False
50,Long,2022-11-25 14:45:00,70.4,1,75,PCE,False,False,True,True,True
51,Long,2022-11-29 15:15:00,-2366.54,1,-2865,none,False,False,False,False,False
52,Long,2022-12-20 15:15:00,82.94,1,105,RetailSales,False,False,False,True,True
53,Long,2023-01-06 13:45:00,-2339.3,2,15,NFP,True,True,True,True,True
54,Long,2023-01-06 15:30:00,696.0,2,120,NFP,False,False,False,True,True
55,Long,2023-01-13 15:15:00,82.65,1,1545,none,False,False,False,False,False
56,Long,2023-01-20 16:00:00,81.54,1,4470,none,False,False,False,False,False
57,Long,2023-01-24 15:30:00,82.62,1,-2760,none,False,False,False,False,False
58,Long,2023-02-03 15:30:00,-55.44,1,30,ISM_Svc,True,True,True,True,True
59,Long,2023-02-10 15:00:00,81.12,1,1530,none,False,False,False,False,False
60,Long,2023-03-03 16:15:00,80.96,3,75,ISM_Svc,False,False,True,True,True
61,Long,2023-03-03 16:45:00,3677.98,3,105,ISM_Svc,False,False,False,True,True
62,Long Add,2023-03-03 19:15:00,1675.32,3,255,none,False,False,False,False,False
63,Long,2023-03-24 15:45:00,90.24,1,4515,none,False,False,False,False,False
64,Long,2023-03-28 14:00:00,-2386.8,1,-4230,none,False,False,False,False,False
65,Long,2023-03-31 15:00:00,3756.83,1,150,PCE,False,False,False,False,True
66,Long,2023-04-11 14:15:00,-3176.96,2,-1335,none,False,False,False,False,False
67,Long,2023-04-11 15:15:00,943.92,2,-1275,none,False,False,False,False,False
68,Long,2023-04-28 13:45:00,4699.62,3,75,PCE,False,False,True,True,True
69,Long,2023-04-28 15:45:00,85.28,3,195,PCE,False,False,False,False,False
70,Long,2023-04-28 16:45:00,-2419.2,3,255,none,False,False,False,False,False
71,Long,2023-05-09 13:45:00,-3546.87,1,-1365,none,False,False,False,False,False
72,Long,2023-05-26 14:15:00,-2351.97,1,105,PCE,False,False,False,True,True
73,Long,2023-06-02 14:00:00,7766.25,2,90,NFP,False,False,True,True,True
74,Long Add,2023-06-02 15:30:00,12227.02,2,180,NFP,False,False,False,False,True
75,Long,2023-06-06 14:45:00,-2991.45,1,1485,none,False,False,False,False,False
76,Long,2023-06-09 14:00:00,75.4,1,1530,none,False,False,False,False,False
77,Long,2023-06-27 15:30:00,3221.64,2,-4140,none,False,False,False,False,False
78,Long Add,2023-06-27 17:15:00,1831.5,2,-4035,none,False,False,False,False,False
79,Long,2023-07-07 16:30:00,84.24,1,240,NFP,False,False,False,False,False
80,Long,2023-07-11 15:45:00,82.4,1,-1245,none,False,False,False,False,False
81,Long,2023-07-18 13:45:00,81.44,3,75,RetailSales,False,False,True,True,True
82,Long,2023-07-18 14:15:00,5963.7,3,105,RetailSales,False,False,False,True,True
83,Long Add,2023-07-18 15:45:00,-6022.02,3,195,RetailSales,False,False,False,False,False
84,Long,2023-07-25 15:30:00,72.5,2,-2700,none,False,False,False,False,False
85,Long,2023-07-25 16:45:00,73.4,2,-2625,none,False,False,False,False,False
86,Long,2023-08-01 13:45:00,-2863.22,1,-15,ISM_Mfg,True,True,True,True,True
87,Long,2023-08-04 14:30:00,44.07,2,120,NFP,False,False,False,True,True
88,Long,2023-08-04 16:30:00,-2531.69,2,240,NFP,False,False,False,False,False
89,Long,2023-08-11 14:15:00,87.36,1,1545,none,False,False,False,False,False
90,Long,2023-08-18 15:00:00,87.17,1,4470,none,False,False,False,False,False
91,Long,2023-08-29 14:00:00,79.35,2,-4230,none,False,False,False,False,False
92,Long,2023-08-29 15:30:00,85.0,2,-4140,none,False,False,False,False,False
93,Long,2023-09-08 14:00:00,766.25,1,4320,none,False,False,False,False,False
94,Long,2023-09-12 15:15:00,7837.32,2,-1275,none,False,False,False,False,False
95,Long Add,2023-09-12 16:45:00,11742.0,2,-1185,none,False,False,False,False,False
96,Long,2023-10-06 15:15:00,2711.36,1,165,NFP,False,False,False,False,True
97,Long,2023-10-10 14:00:00,90.44,3,-1350,none,False,False,False,False,False
98,Long,2023-10-10 15:00:00,95.26,3,-1290,none,False,False,False,False,False
99,Long,2023-10-10 15:45:00,-2747.7,3,-1245,none,False,False,False,False,False
100,Long,2023-10-17 15:15:00,3889.92,1,165,RetailSales,False,False,False,False,True
101,Long,2023-10-31 16:30:00,366.76,1,-1290,none,False,False,False,False,False
102,Long,2023-11-03 16:00:00,94.2,1,120,ISM_Svc,False,False,False,True,True
103,Long,2023-11-07 15:00:00,3216.93,2,-1350,none,False,False,False,False,False
104,Long,2023-11-07 16:30:00,-2802.88,2,-1260,none,False,False,False,False,False
105,Long,2023-11-14 15:15:00,496.4,1,7305,none,False,False,False,False,False
106,Long,2023-11-24 15:15:00,76.4,1,105,PCE,False,False,False,True,True
107,Long,2023-11-28 15:30:00,1139.06,1,-4200,none,False,False,False,False,False
108,Long,2023-12-01 16:30:00,94.08,1,90,ISM_Mfg,False,False,True,True,True
