Trade #,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2022-01-12 10:15,X-Long,114.945,3021217,347633312.9,-3298.59,-0.11,381.16,0.01,-3208.24,-0.11,-3298.59,-1.65
1,Entry long,2022-01-12 10:15,Long,115.064,3021217,347633312.9,-3298.59,-0.11,381.16,0.01,-3208.24,-0.11,-3298.59,-1.65
2,Exit long,2022-01-19 11:15,X-Long,114.254,3265450,373071131.6,-24.36,0.00,3862.6,0.12,-895.4,-0.03,-3322.95,-1.66
2,Entry long,2022-01-19 10:15,Long,114.248,3265450,373071131.6,-24.36,0.00,3862.6,0.12,-895.4,-0.03,-3322.95,-1.66
3,Exit long,2022-02-28 10:45,X-Long,115.206,3364492,387589478.4,-26.56,0.00,6478.91,0.19,-1206.91,-0.04,-3349.5,-1.67
3,Entry long,2022-02-28 10:15,Long,115.2,3364492,387589478.4,-26.56,0.00,6478.91,0.19,-1206.91,-0.04,-3349.5,-1.67
4,Exit long,2022-03-01 14:15,X-Long,114.795,3039826,348935546.9,2.97,0.00,702,0.02,-2417.25,-0.08,-3346.53,-1.67
4,Entry long,2022-03-01 13:15,Long,114.788,3039826,348935546.9,2.97,0.00,702,0.02,-2417.25,-0.08,-3346.53,-1.67
5,Exit long,2022-04-13 19:30,X-Long,125.407,2029858,254527954.3,120.55,0.01,5086.29,0.25,-384.61,-0.02,-3225.98,-1.61
5,Entry long,2022-04-13 12:15,Long,125.392,2029858,254527954.3,120.55,0.01,5086.29,0.25,-384.61,-0.02,-3225.98,-1.61
6,Exit long,2022-04-25 11:15,X-Long,127.735,1666621,212854167.6,146.94,0.01,3838.73,0.23,-594.04,-0.04,-3079.04,-1.54
6,Entry long,2022-04-25 10:15,Long,127.716,1666621,212854167.6,146.94,0.01,3838.73,0.23,-594.04,-0.04,-3079.04,-1.54
7,Exit long,2022-05-09 11:00,X-Long,130.534,2155161,281311010.2,-46.73,0.00,1668.1,0.08,-922.73,-0.04,-3125.78,-1.56
7,Entry long,2022-05-09 10:45,Long,130.529,2155161,281311010.2,-46.73,0.00,1668.1,0.08,-922.73,-0.04,-3125.78,-1.56
8,Exit long,2022-05-11 13:30,X-Long,129.658,1573311,204039557,-455.61,-0.03,797.24,0.05,-674.01,-0.04,-3581.38,-1.79
8,Entry long,2022-05-11 13:15,Long,129.688,1573311,204039557,-455.61,-0.03,797.24,0.05,-674.01,-0.04,-3581.38,-1.79
9,Exit long,2022-07-18 10:45,X-Long,138.098,2727374,376617620.9,33.74,0.00,666.34,0.02,-888.44,-0.03,-3547.64,-1.77
9,Entry long,2022-07-18 10:30,Long,138.088,2727374,376617620.9,33.74,0.00,666.34,0.02,-888.44,-0.03,-3547.64,-1.77
10,Exit long,2022-09-07 11:45,X-Long,144.363,1536728,221808246.1,175.78,0.01,2481.69,0.16,-659.83,-0.04,-3371.86,-1.69
10,Entry long,2022-09-07 10:45,Long,144.338,1536728,221808246.1,175.78,0.01,2481.69,0.16,-659.83,-0.04,-3371.86,-1.69
11,Exit long,2022-09-28 13:00,X-Long,144.089,1950055,280944423.8,139.41,0.01,3711.5,0.19,-138.97,-0.01,-3232.44,-1.62
11,Entry long,2022-09-28 12:15,Long,144.07,1950055,280944423.8,139.41,0.01,3711.5,0.19,-138.97,-0.01,-3232.44,-1.62
12,Exit long,2022-10-03 11:00,X-Long,144.378,2462884,356024659.5,-3175.44,-0.13,402.54,0.02,-3101.75,-0.13,-6407.88,-3.20
12,Entry long,2022-10-03 10:30,Long,144.556,2462884,356024659.5,-3175.44,-0.13,402.54,0.02,-3101.75,-0.13,-6407.88,-3.20
13,Exit long,2022-10-04 12:30,X-Long,144.092,2366473,341266704.9,-2054.06,-0.09,664.92,0.03,-2228.61,-0.09,-8461.94,-4.23
13,Entry long,2022-10-04 12:15,Long,144.209,2366473,341266704.9,-2054.06,-0.09,664.92,0.03,-2228.61,-0.09,-8461.94,-4.23
14,Exit long,2022-10-11 14:15,X-Long,145.718,3544230,515611036.2,5599.32,0.16,5705.63,0.16,-1346.29,-0.04,-2862.62,-1.43
14,Entry long,2022-10-11 12:45,Long,145.479,3544230,515611036.2,5599.32,0.16,5705.63,0.16,-1346.29,-0.04,-2862.62,-1.43
15,Exit long,2022-10-26 10:30,X-Long,146.595,1536989,225299532.6,12.48,0.00,1229.19,0.08,-1382.52,-0.09,-2850.13,-1.43
15,Entry long,2022-10-26 10:15,Long,146.585,1536989,225299532.6,12.48,0.00,1229.19,0.08,-1382.52,-0.09,-2850.13,-1.43
16,Exit long,2022-11-14 13:45,X-Long,139.866,1539312,215719183.7,-3132.03,-0.20,474.64,0.03,-3085.49,-0.20,-5982.16,-2.99
16,Entry long,2022-11-14 13:15,Long,140.14,1539312,215719183.7,-3132.03,-0.20,474.64,0.03,-3085.49,-0.20,-5982.16,-2.99
17,Exit long,2022-11-23 10:30,X-Long,140.22,1458092,204549894.3,-768.1,-0.05,802.95,0.06,-1942.66,-0.13,-6750.26,-3.38
17,Entry long,2022-11-23 10:15,Long,140.286,1458092,204549894.3,-768.1,-0.05,802.95,0.06,-1942.66,-0.13,-6750.26,-3.38
18,Exit long,2022-12-07 13:30,X-Long,136.294,1528377,208273462.2,165.29,0.01,746.14,0.05,-525.08,-0.03,-6584.97,-3.29
18,Entry long,2022-12-07 13:15,Long,136.271,1528377,208273462.2,165.29,0.01,746.14,0.05,-525.08,-0.03,-6584.97,-3.29
19,Exit long,2023-01-11 13:15,X-Long,132.638,2186619,289409957.7,4547.41,0.21,4613.2,0.21,-1239.49,-0.06,-2037.56,-1.02
19,Entry long,2023-01-11 13:15,Long,132.355,2186619,289409957.7,4547.41,0.21,4613.2,0.21,-1239.49,-0.06,-2037.56,-1.02
20,Exit long,2023-01-25 10:45,X-Long,129.522,1627807,210804262.1,152.9,0.01,1251.76,0.08,-2974.32,-0.18,-1884.65,-0.94
20,Entry long,2023-01-25 10:15,Long,129.502,1627807,210804262.1,152.9,0.01,1251.76,0.08,-2974.32,-0.18,-1884.65,-0.94
21,Exit long,2023-02-07 23:00,Stale,131.126,1421101,185555999.8,5921.63,0.42,9694.2,0.69,-855.98,-0.06,4036.98,2.02
21,Entry long,2023-02-07 13:00,Long,130.572,1421101,185555999.8,5921.63,0.42,9694.2,0.69,-855.98,-0.06,4036.98,2.02
22,Exit long,2023-03-06 13:45,X-Long,136.057,2300903,312172713.6,6348.78,0.28,6417.91,0.28,-729.48,-0.03,10385.76,5.19
