Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2022-01-24 19:15,Stale,1842.762,192.19,347145.686,7014.74,2.02,8011.06,2.31,-113.97,-0.03,7014.74,3.51
1,Entry long,2022-01-11 10:15,Long,1806.263,192.19,347145.686,7014.74,2.02,8011.06,2.31,-113.97,-0.03,7014.74,3.51
2,Exit long,2022-02-01 09:45,Exit,1801.457,217.91,393314.0396,-758.54,-0.19,246.67,0.06,-810.19,-0.21,6256.2,3.13
2,Entry long,2022-02-01 09:30,Long,1804.938,217.91,393314.0396,-758.54,-0.19,246.67,0.06,-810.19,-0.21,6256.2,3.13
3,Exit long,2022-02-04 08:30,Exit,1800.306,184.52,332894.9308,-702.47,-0.21,1999.64,0.60,-702.47,-0.21,5553.73,2.78
3,Entry long,2022-02-03 13:45,Long,1804.113,184.52,332894.9308,-702.47,-0.21,1999.64,0.60,-702.47,-0.21,5553.73,2.78
4,Exit long,2022-02-15 00:00,Exit,1879.214,204.74,371675.3732,13074.9,3.52,13074.9,3.52,-205.35,-0.06,18628.63,9.31
4,Entry long,2022-02-07 10:30,Long,1815.353,204.74,371675.3732,13074.9,3.52,13074.9,3.52,-205.35,-0.06,18628.63,9.31
5,Exit long,2022-02-22 06:45,Exit,1891.946,208.2,394647.8886,-744.73,-0.19,3913.54,0.99,-744.73,-0.19,17883.9,8.94
5,Entry long,2022-02-21 10:45,Long,1895.523,208.2,394647.8886,-744.73,-0.19,3913.54,0.99,-744.73,-0.19,17883.9,8.94
6,Exit long,2022-02-22 23:45,Exit,1896.515,144.77,275300.1333,-741.66,-0.27,596.74,0.22,-741.66,-0.27,17142.24,8.57
6,Entry long,2022-02-22 11:30,Long,1901.638,144.77,275300.1333,-741.66,-0.27,596.74,0.22,-741.66,-0.27,17142.24,8.57
7,Exit long,2022-03-08 09:45,Exit,2033.593,119.5,229201.956,13812.41,6.03,13812.41,6.03,-508.83,-0.22,30954.65,15.48
7,Entry long,2022-03-01 09:15,Long,1918.008,119.5,229201.956,13812.41,6.03,13812.41,6.03,-508.83,-0.22,30954.65,15.48
8,Exit long,2022-03-09 04:45,Exit,2018.637,41.15,83852.30145,-785.39,-0.94,885.63,1.06,-785.39,-0.94,30169.26,15.08
8,Entry long,2022-03-08 13:30,Long,2037.723,41.15,83852.30145,-785.39,-0.94,885.63,1.06,-785.39,-0.94,30169.26,15.08
9,Exit long,2022-03-10 10:15,Exit,1989.769,77.73,155447.7964,-783.05,-0.50,555.54,0.36,-783.05,-0.50,29386.21,14.69
9,Entry long,2022-03-10 09:15,Long,1999.843,77.73,155447.7964,-783.05,-0.50,555.54,0.36,-783.05,-0.50,29386.21,14.69
10,Exit long,2022-03-10 23:45,Exit,1986.294,73.9,147567.4367,-780.31,-0.53,681.88,0.46,-780.31,-0.53,28605.9,14.30
10,Entry long,2022-03-10 11:45,Long,1996.853,73.9,147567.4367,-780.31,-0.53,681.88,0.46,-780.31,-0.53,28605.9,14.30
11,Exit long,2022-04-05 04:00,Exit,1925.865,133.98,258805.5485,-778.16,-0.30,642.7,0.25,-778.16,-0.30,27827.74,13.91
11,Entry long,2022-04-04 10:30,Long,1931.673,133.98,258805.5485,-778.16,-0.30,642.7,0.25,-778.16,-0.30,27827.74,13.91
12,Exit long,2022-04-07 15:45,Exit,1929.668,210.25,406488.7297,-776.03,-0.19,34.9,0.01,-776.03,-0.19,27051.71,13.53
12,Entry long,2022-04-07 15:00,Long,1933.359,210.25,406488.7297,-776.03,-0.19,34.9,0.01,-776.03,-0.19,27051.71,13.53
13,Exit long,2022-04-24 22:00,Exit,1924.955,206.21,398490.3083,-1545.34,-0.39,13612.13,3.42,-1545.34,-0.39,25506.37,12.75
13,Entry long,2022-04-07 16:00,Long,1932.449,206.21,398490.3083,-1545.34,-0.39,13612.13,3.42,-1545.34,-0.39,25506.37,12.75
14,Exit long,2022-05-23 21:00,Exit,1851.618,209.26,388237.5669,-767.98,-0.20,755.85,0.19,-767.98,-0.20,24738.39,12.37
