Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2022-01-04 10:45,Exit Long,36879.5,40.3,1488262.88,-2019.03,-0.14,822.12,0.06,-2019.03,-0.14,-2019.03,-1.01
1,Entry long,2022-01-04 10:15,Long,36929.6,40.3,1488262.88,-2019.03,-0.14,822.12,0.06,-2019.03,-0.14,-2019.03,-1.01
2,Exit long,2022-01-07 14:15,Exit Long,36283.1,23.84,866979.744,-1990.64,-0.23,243.17,0.03,-1990.64,-0.23,-4009.67,-2.00
2,Entry long,2022-01-07 11:45,Long,36366.6,23.84,866979.744,-1990.64,-0.23,243.17,0.03,-1990.64,-0.23,-4009.67,-2.00
3,Exit long,2022-01-28 12:15,Exit Long,34240.2,10.3,352599.9,74.16,0.02,1806.62,0.51,-486.16,-0.14,-3935.51,-1.97
3,Entry long,2022-01-28 11:15,Long,34233,10.3,352599.9,74.16,0.02,1806.62,0.51,-486.16,-0.14,-3935.51,-1.97
4,Exit long,2022-02-04 10:00,Exit Long,35031.8,18.26,641649.096,-1968.43,-0.31,471.11,0.07,-2587.44,-0.40,-5903.94,-2.95
4,Entry long,2022-02-04 09:30,Long,35139.6,18.26,641649.096,-1968.43,-0.31,471.11,0.07,-2587.44,-0.40,-5903.94,-2.95
5,Exit long,2022-02-25 13:00,Exit Long,33881.2,11.81,396490.044,3646.93,0.92,5071.21,1.28,-1129.04,-0.28,-2257.01,-1.13
5,Entry long,2022-02-25 10:15,Long,33572.4,11.81,396490.044,3646.93,0.92,5071.21,1.28,-1129.04,-0.28,-2257.01,-1.13
6,Exit long,2022-02-25 13:00,Exit Long Add,33881.2,41.34,1401632.7,-983.89,-0.07,4001.71,0.29,-2058.73,-0.15,-3240.9,-1.62
6,Entry long,2022-02-25 11:45,Long Add,33905,41.34,1401632.7,-983.89,-0.07,4001.71,0.29,-2058.73,-0.15,-3240.9,-1.62
7,Exit long,2022-03-15 11:45,Exit Long,33258.7,15.92,529406.864,71.64,0.01,1954.98,0.37,-1244.94,-0.24,-3169.26,-1.58
7,Entry long,2022-03-15 10:30,Long,33254.2,15.92,529406.864,71.64,0.01,1954.98,0.37,-1244.94,-0.24,-3169.26,-1.58
8,Exit long,2022-03-15 13:30,Exit Long,33265.9,14.92,498301.144,-1973.92,-0.40,483.41,0.10,-1973.92,-0.40,-5143.18,-2.57
8,Entry long,2022-03-15 12:15,Long,33398.2,14.92,498301.144,-1973.92,-0.40,483.41,0.10,-1973.92,-0.40,-5143.18,-2.57
9,Exit long,2022-03-18 10:30,Exit Long,34306,22.26,765610.44,-1958.88,-0.26,529.79,0.07,-1958.88,-0.26,-7102.06,-3.55
9,Entry long,2022-03-18 10:00,Long,34394,22.26,765610.44,-1958.88,-0.26,529.79,0.07,-1958.88,-0.26,-7102.06,-3.55
10,Exit long,2022-03-20 18:00,Exit Long,34718.2,21.54,742475.184,5354.84,0.72,6767.87,0.91,-865.91,-0.12,-1747.21,-0.87
10,Entry long,2022-03-18 12:30,Long,34469.6,21.54,742475.184,5354.84,0.72,6767.87,0.91,-865.91,-0.12,-1747.21,-0.87
11,Exit long,2022-03-20 18:00,Exit Long Add,34718.2,75.41,2607798.456,10301.01,0.40,15247.9,0.58,-618.36,-0.02,8553.79,4.28
11,Entry long,2022-03-18 15:00,Long Add,34581.6,75.41,2607798.456,10301.01,0.40,15247.9,0.58,-618.36,-0.02,8553.79,4.28
12,Exit long,2022-03-25 10:45,Exit Long,34883.9,35.08,1223660.56,66.65,0.01,1452.31,0.12,-77.18,-0.01,8620.44,4.31
12,Entry long,2022-03-25 10:15,Long,34882,35.08,1223660.56,66.65,0.01,1452.31,0.12,-77.18,-0.01,8620.44,4.31
13,Exit long,2022-04-08 12:45,Exit Long,34854.3,23.79,829110.048,73.75,0.01,1765.22,0.21,-1398.85,-0.17,8694.19,4.35
13,Entry long,2022-04-08 10:45,Long,34851.2,23.79,829110.048,73.75,0.01,1765.22,0.21,-1398.85,-0.17,8694.19,4.35
14,Exit long,2022-04-19 10:15,Exit Long,34742.3,26.28,912956.688,70.96,0.01,1587.31,0.17,-767.38,-0.08,8765.15,4.38
14,Entry long,2022-04-19 09:45,Long,34739.6,26.28,912956.688,70.96,0.01,1587.31,0.17,-767.38,-0.08,8765.15,4.38
15,Exit long,2022-04-19 11:30,Exit Long,34824.2,23.87,831182.044,71.61,0.01,1021.64,0.12,-1747.28,-0.21,8836.76,4.42
15,Entry long,2022-04-19 10:15,Long,34821.2,23.87,831182.044,71.61,0.01,1021.64,0.12,-1747.28,-0.21,8836.76,4.42
16,Exit long,2022-05-03 11:45,Exit Long,33243,16.39,544777.376,75.39,0.01,1855.35,0.34,-914.56,-0.17,8912.15,4.46
16,Entry long,2022-05-03 11:00,Long,33238.4,16.39,544777.376,75.39,0.01,1855.35,0.34,-914.56,-0.17,8912.15,4.46
17,Exit long,2022-05-27 10:15,Exit Long,32874.6,25.78,847648.978,-141.79,-0.02,327.41,0.04,-1038.93,-0.12,8770.36,4.39
17,Entry long,2022-05-27 09:45,Long,32880.1,25.78,847648.978,-141.79,-0.02,327.41,0.04,-1038.93,-0.12,8770.36,4.39
18,Exit long,2022-05-27 13:30,Exit Long,32947.3,26.72,880226.272,125.58,0.01,2036.06,0.23,-662.66,-0.08,8895.95,4.45
18,Entry long,2022-05-27 11:15,Long,32942.6,26.72,880226.272,125.58,0.01,2036.06,0.23,-662.66,-0.08,8895.95,4.45
19,Exit long,2022-05-31 12:45,Exit Long,33126.3,17.42,576985.24,74.91,0.01,1111.4,0.19,-1512.06,-0.26,8970.85,4.49
19,Entry long,2022-05-31 11:45,Long,33122,17.42,576985.24,74.91,0.01,1111.4,0.19,-1512.06,-0.26,8970.85,4.49
20,Exit long,2022-06-07 11:15,Exit Long,32958.7,21.26,700627.552,74.41,0.01,931.19,0.13,-705.83,-0.10,9045.26,4.52
20,Entry long,2022-06-07 10:30,Long,32955.2,21.26,700627.552,74.41,0.01,931.19,0.13,-705.83,-0.10,9045.26,4.52
21,Exit long,2022-06-21 11:00,Exit Long,30444.2,31.89,970361.676,503.86,0.05,2640.49,0.27,-1600.88,-0.16,9549.13,4.77
21,Entry long,2022-06-21 09:45,Long,30428.4,31.89,970361.676,503.86,0.05,2640.49,0.27,-1600.88,-0.16,9549.13,4.77
22,Exit long,2022-06-24 13:15,Exit Long,31351.6,25.49,799080.912,71.37,0.01,581.17,0.07,-1381.56,-0.17,9620.5,4.81
22,Entry long,2022-06-24 11:30,Long,31348.8,25.49,799080.912,71.37,0.01,581.17,0.07,-1381.56,-0.17,9620.5,4.81
23,Exit long,2022-07-15 11:15,Exit Long,31247.5,17.72,553629.504,76.2,0.01,882.46,0.16,-1332.54,-0.24,9696.69,4.85
23,Entry long,2022-07-15 10:15,Long,31243.2,17.72,553629.504,76.2,0.01,882.46,0.16,-1332.54,-0.24,9696.69,4.85
24,Exit long,2022-07-19 12:00,Exit Long,31547.6,28.99,911729.702,2835.22,0.31,5195.01,0.57,-672.57,-0.07,12531.92,6.27
24,Entry long,2022-07-19 10:00,Long,31449.8,28.99,911729.702,2835.22,0.31,5195.01,0.57,-672.57,-0.07,12531.92,6.27
25,Exit long,2022-07-19 12:00,Exit Long Add,31547.6,101.49,3203207.082,-1441.16,-0.04,4079.9,0.13,-1441.16,-0.04,11090.76,5.55
25,Entry long,2022-07-19 11:30,Long Add,31561.8,101.49,3203207.082,-1441.16,-0.04,4079.9,0.13,-1441.16,-0.04,11090.76,5.55
26,Exit long,2022-07-19 14:45,Exit Long,31704,27.44,868838.208,1119.55,0.13,3561.71,0.41,-1295.17,-0.15,12210.31,6.11
26,Entry long,2022-07-19 12:30,Long,31663.2,27.44,868838.208,1119.55,0.13,3561.71,0.41,-1295.17,-0.15,12210.31,6.11
27,Exit long,2022-07-19 14:45,Exit Long Add,31704,96.07,3051163.986,-5360.71,-0.18,1229.7,0.04,-5360.71,-0.18,6849.6,3.42
27,Entry long,2022-07-19 14:00,Long Add,31759.8,96.07,3051163.986,-5360.71,-0.18,1229.7,0.04,-5360.71,-0.18,6849.6,3.42
28,Exit long,2022-07-29 10:45,Exit Long,32685.1,29.71,971005.988,68.33,0.01,677.39,0.07,-1016.08,-0.10,6917.94,3.46
28,Entry long,2022-07-29 10:15,Long,32682.8,29.71,971005.988,68.33,0.01,677.39,0.07,-1016.08,-0.10,6917.94,3.46
29,Exit long,2022-07-29 14:00,Exit Long,32731.4,27.56,902005.728,71.66,0.01,1124.45,0.12,-1411.07,-0.16,6989.59,3.49
29,Entry long,2022-07-29 12:45,Long,32728.8,27.56,902005.728,71.66,0.01,1124.45,0.12,-1411.07,-0.16,6989.59,3.49
30,Exit long,2022-08-02 13:15,Exit Long,32658.4,23.69,775757.478,-2079.98,-0.27,469.06,0.06,-2079.98,-0.27,4909.61,2.45
30,Entry long,2022-08-02 12:15,Long,32746.2,23.69,775757.478,-2079.98,-0.27,469.06,0.06,-2079.98,-0.27,4909.61,2.45
31,Exit long,2022-08-14 18:00,Exit Long,33704.3,34.42,1155555.124,4546.88,0.39,6223.14,0.54,-110.14,-0.01,9456.49,4.73
31,Entry long,2022-08-12 12:00,Long,33572.2,34.42,1155555.124,4546.88,0.39,6223.14,0.54,-110.14,-0.01,9456.49,4.73
32,Exit long,2022-08-14 18:00,Exit Long Add,33704.3,120.47,4056730.874,3626.15,0.09,9493.04,0.23,-2746.72,-0.07,13082.64,6.54
32,Entry long,2022-08-12 14:30,Long Add,33674.2,120.47,4056730.874,3626.15,0.09,9493.04,0.23,-2746.72,-0.07,13082.64,6.54
