Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2022-01-11 12:15,Exit Long,15773.9,9.85,154820.33,552.59,0.36,1254.89,0.81,-143.81,-0.09,552.59,0.28
1,Entry long,2022-01-11 11:00,Long,15717.8,9.85,154820.33,552.59,0.36,1254.89,0.81,-143.81,-0.09,552.59,0.28
2,Exit long,2022-01-31 15:00,Exit Long,14794.4,11.28,166786.08,94.75,0.06,602.35,0.36,-717.41,-0.43,647.34,0.32
2,Entry long,2022-01-31 11:45,Long,14786,11.28,166786.08,94.75,0.06,602.35,0.36,-717.41,-0.43,647.34,0.32
3,Exit long,2022-02-08 13:00,Exit Long,14710.4,14.35,209739.6,1354.64,0.65,2166.85,1.03,-40.18,-0.02,2001.98,1.00
3,Entry long,2022-02-08 10:45,Long,14616,14.35,209739.6,1354.64,0.65,2166.85,1.03,-40.18,-0.02,2001.98,1.00
4,Exit long,2022-02-08 13:00,Exit Long Add,14710.4,143.53,2111211.476,172.24,0.01,8296.03,0.39,-28.71,0.00,2174.21,1.09
4,Entry long,2022-02-08 12:15,Long Add,14709.2,143.53,2111211.476,172.24,0.01,8296.03,0.39,-28.71,0.00,2174.21,1.09
5,Exit long,2022-02-22 10:30,Exit Long,14006.8,11.37,160382.946,-1125.63,-0.70,40.93,0.03,-1355.3,-0.85,1048.58,0.52
5,Entry long,2022-02-22 10:15,Long,14105.8,11.37,160382.946,-1125.63,-0.70,40.93,0.03,-1355.3,-0.85,1048.58,0.52
6,Exit long,2022-03-15 11:45,Exit Long,13321.7,11.29,150142.323,259.67,0.17,1141.42,0.76,-355.63,-0.24,1308.25,0.65
6,Entry long,2022-03-15 10:30,Long,13298.7,11.29,150142.323,259.67,0.17,1141.42,0.76,-355.63,-0.24,1308.25,0.65
7,Exit long,2022-03-22 11:30,Exit Long,14633.3,16.34,238730.668,377.45,0.16,1098.05,0.46,-375.82,-0.16,1685.71,0.84
7,Entry long,2022-03-22 10:30,Long,14610.2,16.34,238730.668,377.45,0.16,1098.05,0.46,-375.82,-0.16,1685.71,0.84
8,Exit long,2022-04-04 12:45,Exit Long,15103.3,18.77,283396.968,91.97,0.03,709.51,0.25,-349.12,-0.12,1777.68,0.89
8,Entry long,2022-04-04 11:00,Long,15098.4,18.77,283396.968,91.97,0.03,709.51,0.25,-349.12,-0.12,1777.68,0.89
9,Exit long,2022-04-18 10:45,Exit Long,13931.2,15.6,218141.04,-814.32,-0.37,258.96,0.12,-814.32,-0.37,963.36,0.48
9,Entry long,2022-04-18 10:15,Long,13983.4,15.6,218141.04,-814.32,-0.37,258.96,0.12,-814.32,-0.37,963.36,0.48
10,Exit long,2022-04-19 12:30,Exit Long,14145.6,15.09,211531.62,1925.48,0.91,2740.34,1.30,-229.37,-0.11,2888.84,1.44
10,Entry long,2022-04-19 09:45,Long,14018,15.09,211531.62,1925.48,0.91,2740.34,1.30,-229.37,-0.11,2888.84,1.44
