Trade #,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2022-01-12 10:15,X-Long,114.947,3068434,353063221.3,-3270.31,-0.11,387.12,0.01,-3178.55,-0.10,-3270.31,-1.64
1,Entry long,2022-01-12 10:15,Long,115.063,3068434,353063221.3,-3270.31,-0.11,387.12,0.01,-3178.55,-0.10,-3270.31,-1.64
2,Exit long,2022-01-19 11:15,X-Long,114.255,3303439,377427816.1,-139.94,0.00,3734.6,0.11,-1021.11,-0.03,-3410.25,-1.71
2,Entry long,2022-01-19 10:15,Long,114.253,3303439,377427816.1,-139.94,0.00,3734.6,0.11,-1021.11,-0.03,-3410.25,-1.71
3,Exit long,2022-02-28 10:45,X-Long,115.206,3387428,390235093,-56.05,0.00,6493.77,0.19,-1273.76,-0.04,-3466.3,-1.73
3,Entry long,2022-02-28 10:15,Long,115.201,3387428,390235093,-56.05,0.00,6493.77,0.19,-1273.76,-0.04,-3466.3,-1.73
4,Exit long,2022-03-01 14:15,X-Long,114.794,3074243,352880057,29.74,0.00,736.68,0.02,-2391.15,-0.08,-3436.56,-1.72
4,Entry long,2022-03-01 13:15,Long,114.786,3074243,352880057,29.74,0.00,736.68,0.02,-2391.15,-0.08,-3436.56,-1.72
5,Exit long,2022-04-13 19:30,X-Long,125.407,2045716,256508237.8,186.58,0.01,5191.28,0.25,-322.36,-0.02,-3249.97,-1.62
5,Entry long,2022-04-13 12:15,Long,125.388,2045716,256508237.8,186.58,0.01,5191.28,0.25,-322.36,-0.02,-3249.97,-1.62
6,Exit long,2022-04-25 11:15,X-Long,127.734,1679391,214485101,135,0.01,3842.02,0.23,-624.71,-0.04,-3114.97,-1.56
6,Entry long,2022-04-25 10:15,Long,127.716,1679391,214485101,135,0.01,3842.02,0.23,-624.71,-0.04,-3114.97,-1.56
7,Exit long,2022-05-09 11:00,X-Long,130.532,2176973,284158108.7,-80.54,0.00,1651.64,0.08,-882.06,-0.04,-3195.52,-1.60
7,Entry long,2022-05-09 10:45,Long,130.529,2176973,284158108.7,-80.54,0.00,1651.64,0.08,-882.06,-0.04,-3195.52,-1.60
8,Exit long,2022-05-11 13:30,X-Long,129.661,1585423,205611923.4,-434.81,-0.03,779.07,0.05,-703.5,-0.04,-3630.33,-1.82
8,Entry long,2022-05-11 13:15,Long,129.689,1585423,205611923.4,-434.81,-0.03,779.07,0.05,-703.5,-0.04,-3630.33,-1.82
9,Exit long,2022-07-18 10:45,X-Long,138.095,2760655,381218848.9,-65.45,0.00,535.02,0.02,-998.89,-0.04,-3695.78,-1.85
9,Entry long,2022-07-18 10:30,Long,138.09,2760655,381218848.9,-65.45,0.00,535.02,0.02,-998.89,-0.04,-3695.78,-1.85
10,Exit long,2022-09-07 11:45,X-Long,144.358,1549161,223595054.6,177.21,0.01,2534.31,0.16,-610.94,-0.04,-3518.57,-1.76
10,Entry long,2022-09-07 10:45,Long,144.333,1549161,223595054.6,177.21,0.01,2534.31,0.16,-610.94,-0.04,-3518.57,-1.76
11,Exit long,2022-09-28 13:00,X-Long,144.084,1955198,281685375.9,72.29,0.00,3721.29,0.19,-179.83,-0.01,-3446.28,-1.72
11,Entry long,2022-09-28 12:15,Long,144.07,1955198,281685375.9,72.29,0.00,3721.29,0.19,-179.83,-0.01,-3446.28,-1.72
12,Exit long,2022-10-03 11:00,X-Long,144.375,2453726,354691000.8,-3146.68,-0.13,417.99,0.02,-3073.27,-0.13,-6592.96,-3.30
12,Entry long,2022-10-03 10:30,Long,144.552,2453726,354691000.8,-3146.68,-0.13,417.99,0.02,-3073.27,-0.13,-6592.96,-3.30
13,Exit long,2022-10-04 12:30,X-Long,144.09,2373790,342310013.2,-2011.21,-0.09,683.37,0.03,-2169.9,-0.09,-8604.17,-4.30
13,Entry long,2022-10-04 12:15,Long,144.204,2373790,342310013.2,-2011.21,-0.09,683.37,0.03,-2169.9,-0.09,-8604.17,-4.30
14,Exit long,2022-10-11 14:15,X-Long,145.715,3588630,522066715.1,5620.23,0.16,5727.86,0.16,-1412.4,-0.04,-2983.94,-1.49
14,Entry long,2022-10-11 12:45,Long,145.478,3588630,522066715.1,5620.23,0.16,5727.86,0.16,-1412.4,-0.04,-2983.94,-1.49
15,Exit long,2022-10-26 10:30,X-Long,146.589,1546588,226698869,2.14,0.00,1268.15,0.08,-1339.01,-0.09,-2981.8,-1.49
15,Entry long,2022-10-26 10:15,Long,146.58,1546588,226698869,2.14,0.00,1268.15,0.08,-1339.01,-0.09,-2981.8,-1.49
