Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2022-01-24 19:15,Stale,1842.65,191.7,346250.457,6985.55,2.02,8001.56,2.31,-111.19,-0.03,6985.55,3.49
1,Entry long,2022-01-11 10:15,Long,1806.21,191.7,346250.457,6985.55,2.02,8001.56,2.31,-111.19,-0.03,6985.55,3.49
2,Exit long,2022-02-04 08:30,Exit,1800.19,183.7,331409.496,-714.59,-0.22,1989.47,0.60,-714.59,-0.22,6270.96,3.14
2,Entry long,2022-02-03 13:45,Long,1804.08,183.7,331409.496,-714.59,-0.22,1989.47,0.60,-714.59,-0.22,6270.96,3.14
3,Exit long,2022-02-15 00:00,Exit,1879.3,204.9,371954.97,13113.6,3.53,13113.6,3.53,-206.95,-0.06,19384.56,9.69
3,Entry long,2022-02-07 10:30,Long,1815.3,204.9,371954.97,13113.6,3.53,13113.6,3.53,-206.95,-0.06,19384.56,9.69
4,Exit long,2022-02-22 06:45,Exit,1891.88,209.3,396726.057,-755.57,-0.19,3899.26,0.98,-755.57,-0.19,18628.98,9.31
4,Entry long,2022-02-21 10:45,Long,1895.49,209.3,396726.057,-755.57,-0.19,3899.26,0.98,-755.57,-0.19,18628.98,9.31
5,Exit long,2022-02-22 23:45,Exit,1896.45,145.3,276317.01,-762.82,-0.28,579.75,0.21,-762.82,-0.28,17866.16,8.93
5,Entry long,2022-02-22 11:30,Long,1901.7,145.3,276317.01,-762.82,-0.28,579.75,0.21,-762.82,-0.28,17866.16,8.93
6,Exit long,2022-03-08 09:45,Exit,2032.94,120.5,231115.385,13853.89,5.99,13853.89,5.99,-484.41,-0.21,31720.04,15.86
6,Entry long,2022-03-01 09:15,Long,1917.97,120.5,231115.385,13853.89,5.99,13853.89,5.99,-484.41,-0.21,31720.04,15.86
7,Exit long,2022-03-09 04:45,Exit,2018.62,41.4,84357.054,-786.19,-0.93,893.41,1.06,-786.19,-0.93,30933.86,15.47
7,Entry long,2022-03-08 13:30,Long,2037.61,41.4,84357.054,-786.19,-0.93,893.41,1.06,-786.19,-0.93,30933.86,15.47
8,Exit long,2022-03-10 10:15,Exit,1989.68,78.6,157180.35,-791.5,-0.50,569.85,0.36,-791.5,-0.50,30142.35,15.07
8,Entry long,2022-03-10 09:15,Long,1999.75,78.6,157180.35,-791.5,-0.50,569.85,0.36,-791.5,-0.50,30142.35,15.07
9,Exit long,2022-03-10 23:45,Exit,1986.24,74.7,149158.719,-786.59,-0.53,691.72,0.46,-786.59,-0.53,29355.76,14.68
9,Entry long,2022-03-10 11:45,Long,1996.77,74.7,149158.719,-786.59,-0.53,691.72,0.46,-786.59,-0.53,29355.76,14.68
10,Exit long,2022-04-05 04:00,Exit,1925.79,134.8,260383.724,-787.23,-0.30,634.91,0.24,-787.23,-0.30,28568.53,14.28
