Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2022-01-24 19:15,Stale,1842.66,191.7,346248.54,6989.38,2.02,8003.48,2.31,-109.27,-0.03,6989.38,3.49
1,Entry long,2022-01-11 10:15,Long,1806.2,191.7,346248.54,6989.38,2.02,8003.48,2.31,-109.27,-0.03,6989.38,3.49
2,Exit long,2022-02-04 08:30,Exit,1800.2,183.7,331407.659,-710.92,-0.21,1991.31,0.60,-710.92,-0.21,6278.46,3.14
2,Entry long,2022-02-03 13:45,Long,1804.07,183.7,331407.659,-710.92,-0.21,1991.31,0.60,-710.92,-0.21,6278.46,3.14
3,Exit long,2022-02-15 00:00,Exit,1879.3,204.9,371952.921,13115.65,3.53,13115.65,3.53,-204.9,-0.06,19394.11,9.70
3,Entry long,2022-02-07 10:30,Long,1815.29,204.9,371952.921,13115.65,3.53,13115.65,3.53,-204.9,-0.06,19394.11,9.70
4,Exit long,2022-02-22 06:45,Exit,1891.89,209.3,396723.964,-751.39,-0.19,3901.35,0.98,-751.39,-0.19,18642.72,9.32
4,Entry long,2022-02-21 10:45,Long,1895.48,209.3,396723.964,-751.39,-0.19,3901.35,0.98,-751.39,-0.19,18642.72,9.32
5,Exit long,2022-02-22 23:45,Exit,1896.46,145.3,276315.557,-759.92,-0.28,581.2,0.21,-759.92,-0.28,17882.81,8.94
5,Entry long,2022-02-22 11:30,Long,1901.69,145.3,276315.557,-759.92,-0.28,581.2,0.21,-759.92,-0.28,17882.81,8.94
6,Exit long,2022-03-08 09:45,Exit,2032.94,120.5,231114.18,13855.09,5.99,13855.09,5.99,-483.2,-0.21,31737.9,15.87
6,Entry long,2022-03-01 09:15,Long,1917.96,120.5,231114.18,13855.09,5.99,13855.09,5.99,-483.2,-0.21,31737.9,15.87
7,Exit long,2022-03-09 04:45,Exit,2018.63,41.4,84356.64,-785.36,-0.93,893.83,1.06,-785.36,-0.93,30952.54,15.48
7,Entry long,2022-03-08 13:30,Long,2037.6,41.4,84356.64,-785.36,-0.93,893.83,1.06,-785.36,-0.93,30952.54,15.48
8,Exit long,2022-03-10 10:15,Exit,1989.69,78.6,157179.564,-789.93,-0.50,570.64,0.36,-789.93,-0.50,30162.61,15.08
8,Entry long,2022-03-10 09:15,Long,1999.74,78.6,157179.564,-789.93,-0.50,570.64,0.36,-789.93,-0.50,30162.61,15.08
9,Exit long,2022-03-10 23:45,Exit,1986.25,74.7,149157.972,-785.1,-0.53,692.47,0.46,-785.1,-0.53,29377.51,14.69
9,Entry long,2022-03-10 11:45,Long,1996.76,74.7,149157.972,-785.1,-0.53,692.47,0.46,-785.1,-0.53,29377.51,14.69
10,Exit long,2022-04-05 04:00,Exit,1925.8,134.8,260382.376,-784.54,-0.30,636.26,0.24,-784.54,-0.30,28592.98,14.30
10,Entry long,2022-04-04 10:30,Long,1931.62,134.8,260382.376,-784.54,-0.30,636.26,0.24,-784.54,-0.30,28592.98,14.30
11,Exit long,2022-04-07 15:15,Exit,1929.58,211.4,408693.278,-780.07,-0.19,44.39,0.01,-780.07,-0.19,27812.91,13.91
11,Entry long,2022-04-07 15:00,Long,1933.27,211.4,408693.278,-780.07,-0.19,44.39,0.01,-780.07,-0.19,27812.91,13.91
12,Exit long,2022-04-08 00:30,Exit,1928.61,207,400002.66,-780.39,-0.20,647.91,0.16,-780.39,-0.20,27032.52,13.52
12,Entry long,2022-04-07 16:00,Long,1932.38,207,400002.66,-780.39,-0.20,647.91,0.16,-780.39,-0.20,27032.52,13.52
13,Exit long,2022-04-19 15:15,Exit,1947.86,166.2,324502.176,-767.84,-0.24,7618.61,2.35,-767.84,-0.24,26264.68,13.13
13,Entry long,2022-04-11 15:15,Long,1952.48,166.2,324502.176,-767.84,-0.24,7618.61,2.35,-767.84,-0.24,26264.68,13.13
