Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2022-01-04 10:45,Exit Long,36862.9,40.4,1491277.12,-2015.96,-0.14,799.92,0.05,-2015.96,-0.14,-2015.96,-1.01
1,Entry long,2022-01-04 10:15,Long,36912.8,40.4,1491277.12,-2015.96,-0.14,799.92,0.05,-2015.96,-0.14,-2015.96,-1.01
2,Exit long,2022-01-07 14:15,Exit Long,36272.3,24,872517.6,-1982.4,-0.23,235.2,0.03,-1982.4,-0.23,-3998.36,-2.00
2,Entry long,2022-01-07 11:45,Long,36354.9,24,872517.6,-1982.4,-0.23,235.2,0.03,-1982.4,-0.23,-3998.36,-2.00
3,Exit long,2022-01-28 12:15,Exit Long,34243.7,10.3,352636.98,73.13,0.02,1800.44,0.51,-481.01,-0.14,-3925.23,-1.96
3,Entry long,2022-01-28 11:15,Long,34236.6,10.3,352636.98,73.13,0.02,1800.44,0.51,-481.01,-0.14,-3925.23,-1.96
4,Exit long,2022-02-04 09:45,Exit Long,35042.4,18.4,646774.72,-1994.56,-0.31,428.72,0.07,-2625.68,-0.41,-5919.79,-2.96
4,Entry long,2022-02-04 09:30,Long,35150.8,18.4,646774.72,-1994.56,-0.31,428.72,0.07,-2625.68,-0.41,-5919.79,-2.96
5,Exit long,2022-02-25 13:00,Exit Long,33903.5,11.9,399780.5,3671.15,0.92,5067.02,1.27,-1138.83,-0.28,-2248.64,-1.12
5,Entry long,2022-02-25 10:15,Long,33595,11.9,399780.5,3671.15,0.92,5067.02,1.27,-1138.83,-0.28,-2248.64,-1.12
6,Exit long,2022-02-25 13:00,Exit Long Add,33903.5,41.7,1414755.9,-979.95,-0.07,3911.46,0.28,-2030.79,-0.14,-3228.59,-1.61
6,Entry long,2022-02-25 11:45,Long Add,33927,41.7,1414755.9,-979.95,-0.07,3911.46,0.28,-2030.79,-0.14,-3228.59,-1.61
7,Exit long,2022-03-15 11:45,Exit Long,33273.5,16,532305.6,70.4,0.01,1964.8,0.37,-1267.2,-0.24,-3158.19,-1.58
7,Entry long,2022-03-15 10:30,Long,33269.1,16,532305.6,70.4,0.01,1964.8,0.37,-1267.2,-0.24,-3158.19,-1.58
8,Exit long,2022-03-15 13:30,Exit Long,33280,15,501166.5,-1966.5,-0.39,477,0.10,-1966.5,-0.39,-5124.69,-2.56
8,Entry long,2022-03-15 12:15,Long,33411.1,15,501166.5,-1966.5,-0.39,477,0.10,-1966.5,-0.39,-5124.69,-2.56
9,Exit long,2022-03-18 10:30,Exit Long,34331.7,22.4,770983.36,-1953.28,-0.25,544.32,0.07,-1953.28,-0.25,-7077.97,-3.54
9,Entry long,2022-03-18 10:00,Long,34418.9,22.4,770983.36,-1953.28,-0.25,544.32,0.07,-1953.28,-0.25,-7077.97,-3.54
10,Exit long,2022-03-20 19:00,Exit Long,34737.9,21.6,745139.52,5199.12,0.70,6687.36,0.90,-889.92,-0.12,-1878.85,-0.94
10,Entry long,2022-03-18 12:30,Long,34497.2,21.6,745139.52,5199.12,0.70,6687.36,0.90,-889.92,-0.12,-1878.85,-0.94
11,Exit long,2022-03-20 19:00,Exit Long Add,34737.9,75.6,2616417.72,9767.52,0.37,14976.36,0.57,-695.52,-0.03,7888.67,3.94
11,Entry long,2022-03-18 15:00,Long Add,34608.7,75.6,2616417.72,9767.52,0.37,14976.36,0.57,-695.52,-0.03,7888.67,3.94
12,Exit long,2022-03-25 10:45,Exit Long,34905.6,35.5,1239081.35,67.45,0.01,1448.4,0.12,-7.1,0.00,7956.12,3.98
12,Entry long,2022-03-25 10:15,Long,34903.7,35.5,1239081.35,67.45,0.01,1448.4,0.12,-7.1,0.00,7956.12,3.98
13,Exit long,2022-04-08 13:30,Exit Long,34839.6,23.8,829111.08,71.4,0.01,1863.54,0.22,-1278.06,-0.15,8027.52,4.01
13,Entry long,2022-04-08 10:45,Long,34836.6,23.8,829111.08,71.4,0.01,1863.54,0.22,-1278.06,-0.15,8027.52,4.01
14,Exit long,2022-04-19 10:15,Exit Long,34728.2,26.3,913280.65,71.01,0.01,1593.78,0.17,-781.11,-0.09,8098.53,4.05
14,Entry long,2022-04-19 09:45,Long,34725.5,26.3,913280.65,71.01,0.01,1593.78,0.17,-781.11,-0.09,8098.53,4.05
15,Exit long,2022-04-19 11:30,Exit Long,34812.3,23.8,828461.34,71.4,0.01,982.94,0.12,-1765.96,-0.21,8169.93,4.08
15,Entry long,2022-04-19 10:15,Long,34809.3,23.8,828461.34,71.4,0.01,982.94,0.12,-1765.96,-0.21,8169.93,4.08
16,Exit long,2022-05-03 11:45,Exit Long,33236.4,16.5,548324.7,75.9,0.01,1844.7,0.34,-919.05,-0.17,8245.83,4.12
16,Entry long,2022-05-03 11:00,Long,33231.8,16.5,548324.7,75.9,0.01,1844.7,0.34,-919.05,-0.17,8245.83,4.12
17,Exit long,2022-05-27 10:15,Exit Long,32879.9,26,854942.4,-65,-0.01,512.2,0.06,-1045.2,-0.12,8180.83,4.09
