Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2022-01-04 10:45,Exit Long,36864.9,42.1,1554028.88,-2016.59,-0.13,833.58,0.05,-2016.59,-0.13,-2016.59,-1.01
1,Entry long,2022-01-04 10:15,Long,36912.8,42.1,1554028.88,-2016.59,-0.13,833.58,0.05,-2016.59,-0.13,-2016.59,-1.01
2,Exit long,2022-01-07 14:15,Exit Long,36275.6,25,908872.5,-1982.5,-0.22,245,0.03,-1982.5,-0.22,-3999.09,-2.00
2,Entry long,2022-01-07 11:45,Long,36354.9,25,908872.5,-1982.5,-0.22,245,0.03,-1982.5,-0.22,-3999.09,-2.00
3,Exit long,2022-01-28 12:15,Exit Long,34243.7,10.8,369755.28,76.68,0.02,1887.84,0.51,-504.36,-0.14,-3922.41,-1.96
3,Entry long,2022-01-28 11:15,Long,34236.6,10.8,369755.28,76.68,0.02,1887.84,0.51,-504.36,-0.14,-3922.41,-1.96
4,Exit long,2022-02-04 09:45,Exit Long,35042.4,19.1,671380.28,-2070.44,-0.31,445.03,0.07,-2725.57,-0.41,-5992.85,-3.00
4,Entry long,2022-02-04 09:30,Long,35150.8,19.1,671380.28,-2070.44,-0.31,445.03,0.07,-2725.57,-0.41,-5992.85,-3.00
5,Exit long,2022-02-25 13:00,Exit Long,33910,12.4,416578,3906,0.94,5279.92,1.27,-1186.68,-0.28,-2086.85,-1.04
5,Entry long,2022-02-25 10:15,Long,33595,12.4,416578,3906,0.94,5279.92,1.27,-1186.68,-0.28,-2086.85,-1.04
6,Exit long,2022-02-25 13:00,Exit Long Add,33910,43.4,1472431.8,-737.8,-0.05,4070.92,0.28,-2113.58,-0.14,-2824.65,-1.41
6,Entry long,2022-02-25 11:45,Long Add,33927,43.4,1472431.8,-737.8,-0.05,4070.92,0.28,-2113.58,-0.14,-2824.65,-1.41
7,Exit long,2022-03-15 11:45,Exit Long,33273.5,16.7,555593.97,73.48,0.01,2050.76,0.37,-1322.64,-0.24,-2751.17,-1.38
7,Entry long,2022-03-15 10:30,Long,33269.1,16.7,555593.97,73.48,0.01,2050.76,0.37,-1322.64,-0.24,-2751.17,-1.38
8,Exit long,2022-03-15 13:30,Exit Long,33285.2,15.7,524554.27,-1976.63,-0.38,499.26,0.10,-1976.63,-0.38,-4727.8,-2.36
8,Entry long,2022-03-15 12:15,Long,33411.1,15.7,524554.27,-1976.63,-0.38,499.26,0.10,-1976.63,-0.38,-4727.8,-2.36
9,Exit long,2022-03-18 10:30,Exit Long,34335.2,23.4,805402.26,-1958.58,-0.24,568.62,0.07,-1958.58,-0.24,-6686.38,-3.34
9,Entry long,2022-03-18 10:00,Long,34418.9,23.4,805402.26,-1958.58,-0.24,568.62,0.07,-1958.58,-0.24,-6686.38,-3.34
10,Exit long,2022-03-20 18:30,Exit Long,34741.4,22.5,776187,5494.5,0.71,6966,0.90,-927,-0.12,-1191.88,-0.60
10,Entry long,2022-03-18 12:30,Long,34497.2,22.5,776187,5494.5,0.71,6966,0.90,-927,-0.12,-1191.88,-0.60
11,Exit long,2022-03-20 18:30,Exit Long Add,34741.4,78.9,2730626.43,10470.03,0.38,15630.09,0.57,-725.88,-0.03,9278.15,4.64
11,Entry long,2022-03-18 15:00,Long Add,34608.7,78.9,2730626.43,10470.03,0.38,15630.09,0.57,-725.88,-0.03,9278.15,4.64
12,Exit long,2022-03-25 10:45,Exit Long,34905.6,37.3,1301908.01,70.87,0.01,1521.84,0.12,-7.46,0.00,9349.02,4.67
12,Entry long,2022-03-25 10:15,Long,34903.7,37.3,1301908.01,70.87,0.01,1521.84,0.12,-7.46,0.00,9349.02,4.67
13,Exit long,2022-04-08 13:30,Exit Long,34839.6,25,870915,75,0.01,1957.5,0.22,-1342.5,-0.15,9424.02,4.71
13,Entry long,2022-04-08 10:45,Long,34836.6,25,870915,75,0.01,1957.5,0.22,-1342.5,-0.15,9424.02,4.71
14,Exit long,2022-04-19 10:15,Exit Long,34728.2,27.6,958423.8,74.52,0.01,1672.56,0.17,-819.72,-0.09,9498.54,4.75
14,Entry long,2022-04-19 09:45,Long,34725.5,27.6,958423.8,74.52,0.01,1672.56,0.17,-819.72,-0.09,9498.54,4.75
15,Exit long,2022-04-19 11:30,Exit Long,34812.3,25,870232.5,75,0.01,1032.5,0.12,-1855,-0.21,9573.54,4.79
15,Entry long,2022-04-19 10:15,Long,34809.3,25,870232.5,75,0.01,1032.5,0.12,-1855,-0.21,9573.54,4.79
16,Exit long,2022-05-03 11:45,Exit Long,33236.4,17.3,574910.14,79.58,0.01,1934.14,0.34,-963.61,-0.17,9653.12,4.83
16,Entry long,2022-05-03 11:00,Long,33231.8,17.3,574910.14,79.58,0.01,1934.14,0.34,-963.61,-0.17,9653.12,4.83
