time,open,high,low,close,Volume
1748815200,61.622,62.562,61.602,62.262,1121
1748816100,62.252,62.302,62.132,62.232,457
1748817000,62.222,62.382,62.072,62.232,390
1748817900,62.222,62.292,62.162,62.172,166
1748818800,62.182,62.312,62.092,62.242,238
1748819700,62.232,62.262,62.112,62.232,158
1748820600,62.232,62.282,62.202,62.242,117
1748821500,62.232,62.292,62.162,62.282,120
1748822400,62.282,62.422,62.222,62.332,338
1748823300,62.332,62.362,62.232,62.362,270
1748824200,62.372,62.482,62.332,62.342,264
1748825100,62.352,62.482,62.352,62.472,217
1748826000,62.462,62.482,62.402,62.482,216
1748826900,62.472,62.522,62.442,62.502,117
1748827800,62.502,62.762,62.502,62.602,314
1748828700,62.602,62.652,62.572,62.622,165
1748829600,62.632,62.782,62.622,62.702,260
1748830500,62.712,62.882,62.712,62.772,256
1748831400,62.782,62.872,62.782,62.872,179
1748832300,62.862,62.942,62.862,62.922,173
1748833200,62.952,62.962,62.632,62.832,386
1748834100,62.822,62.832,62.702,62.722,269
1748835000,62.712,62.712,62.562,62.602,475
1748835900,62.592,62.692,62.562,62.682,197
1748836800,62.692,62.742,62.662,62.742,114
1748837700,62.732,62.832,62.722,62.782,193
1748838600,62.802,62.882,62.762,62.832,154
1748839500,62.822,62.832,62.702,62.702,175
1748840400,62.702,62.812,62.702,62.792,137
1748841300,62.782,62.792,62.682,62.742,220
1748842200,62.732,62.782,62.702,62.742,206
1748843100,62.752,62.782,62.732,62.752,159
1748844000,62.762,62.762,62.562,62.582,351
1748844900,62.592,62.742,62.562,62.742,302
1748845800,62.732,62.862,62.722,62.842,242
1748846700,62.842,62.862,62.752,62.772,318
1748847600,62.752,62.862,62.612,62.632,738
1748848500,62.642,62.922,62.622,62.652,728
1748849400,62.662,62.712,62.532,62.572,632
1748850300,62.562,62.802,62.562,62.702,616
1748851200,62.702,63.162,62.702,63.142,761
1748852100,63.152,63.152,62.962,62.972,628
1748853000,62.992,63.092,62.902,62.992,670
1748853900,63.002,63.192,63.002,63.122,453
1748854800,63.122,63.152,62.892,62.922,562
1748855700,62.932,63.242,62.932,63.092,478
1748856600,63.112,63.212,63.092,63.182,403
1748857500,63.182,63.352,63.152,63.352,288
1748858400,63.352,63.362,63.192,63.202,407
1748859300,63.192,63.232,63.162,63.222,292
1748860200,63.222,63.502,63.202,63.462,601
1748861100,63.472,63.652,63.432,63.642,491
1748862000,63.612,63.672,63.522,63.552,453
1748862900,63.552,63.582,63.492,63.552,251
1748863800,63.552,63.652,63.542,63.652,265
1748864700,63.662,63.682,63.532,63.592,350
1748865600,63.602,63.732,63.602,63.642,392
1748866500,63.622,63.932,63.612,63.922,494
1748867400,63.932,64.032,63.802,63.862,650
1748868300,63.872,63.872,63.622,63.822,660
1748869200,63.832,63.982,63.782,63.972,617
1748870100,63.972,64.132,63.682,63.682,862
1748871000,63.692,63.732,63.082,63.082,1503
1748871900,63.072,63.152,62.902,62.912,1231
1748872800,62.882,62.932,62.732,62.852,1286
1748873700,62.862,63.072,62.812,63.052,924
1748874600,63.042,63.082,62.752,63.052,964
1748875500,63.062,63.212,63.052,63.072,791
1748876400,63.082,63.272,63.072,63.142,920
1748877300,63.142,63.152,62.792,62.912,696
1748878200,62.902,62.982,62.712,62.972,610
1748879100,62.982,63.192,62.972,63.142,473
1748880000,63.132,63.192,63.022,63.192,412
1748880900,63.182,63.322,63.122,63.322,279
1748881800,63.322,63.482,63.322,63.382,496
1748882700,63.372,63.462,63.352,63.382,261
1748883600,63.392,63.402,63.192,63.192,298
1748884500,63.182,63.222,63.142,63.182,241
1748885400,63.192,63.212,63.012,63.022,317
1748886300,63.012,63.212,63.012,63.202,324
1748887200,63.202,63.252,62.452,62.592,1518
1748888100,62.592,62.822,62.512,62.822,874
1748889000,62.812,63.032,62.792,62.982,410
1748889900,62.972,63.142,62.972,63.082,233
1748890800,63.092,63.162,63.082,63.132,147
1748891700,63.132,63.162,63.112,63.122,139
1748892600,63.132,63.172,63.112,63.152,98
1748893500,63.142,63.282,63.132,63.272,134
1748894400,63.262,63.432,63.262,63.402,204
1748895300,63.412,63.432,63.372,63.402,115
1748896200,63.402,63.442,63.362,63.402,68
1748897100,63.392,63.412,63.262,63.272,94
1748901600,63.217,63.457,63.207,63.307,340
1748902500,63.307,63.357,63.257,63.257,71
1748903400,63.267,63.327,63.267,63.327,45
1748904300,63.307,63.347,63.277,63.337,57
1748905200,63.337,63.377,63.287,63.307,71
1748906100,63.297,63.337,63.277,63.317,55
1748907000,63.307,63.317,63.267,63.287,48
1748907900,63.287,63.337,63.277,63.327,65
1748908800,63.327,63.417,63.277,63.277,189
1748909700,63.287,63.297,63.187,63.207,131
1748910600,63.217,63.277,63.207,63.247,126
1748911500,63.237,63.257,63.157,63.167,142
1748912400,63.187,63.487,63.117,63.357,1321
1748913300,63.357,63.437,63.337,63.367,441
1748914200,63.377,63.407,63.247,63.277,357
1748915100,63.267,63.327,63.217,63.257,378
1748916000,63.267,63.327,63.157,63.217,295
1748916900,63.207,63.217,63.137,63.147,130
1748917800,63.147,63.227,63.107,63.227,319
1748918700,63.217,63.247,63.167,63.197,225
1748919600,63.187,63.257,63.187,63.207,241
1748920500,63.217,63.217,63.147,63.207,196
1748921400,63.197,63.207,63.137,63.157,109
1748922300,63.157,63.167,63.077,63.107,96
1748923200,63.097,63.137,63.047,63.057,79
1748924100,63.047,63.097,63.037,63.067,84
1748925000,63.057,63.057,63.007,63.017,48
1748925900,63.007,63.067,63.007,63.037,85
1748926800,63.047,63.067,62.997,63.027,86
1748927700,63.037,63.037,63.007,63.017,66
1748928600,63.007,63.047,62.937,63.047,322
1748929500,63.037,63.077,62.947,62.957,187
1748930400,62.947,62.987,62.927,62.937,213
1748931300,62.937,62.977,62.927,62.957,200
1748932200,62.947,63.017,62.897,63.017,257
1748933100,63.017,63.137,63.007,63.067,258
1748934000,63.077,63.107,62.967,63.037,368
1748934900,63.037,63.217,63.037,63.217,273
1748935800,63.227,63.437,63.227,63.387,489
1748936700,63.377,63.407,63.237,63.297,315
1748937600,63.337,63.347,63.167,63.177,418
1748938500,63.167,63.357,63.087,63.087,534
1748939400,63.117,63.197,62.987,63.037,574
1748940300,63.037,63.127,62.917,62.947,434
1748941200,62.957,63.007,62.857,62.857,344
1748942100,62.847,63.107,62.847,63.037,311
1748943000,63.017,63.047,62.937,62.967,293
1748943900,62.977,62.977,62.747,62.757,309
1748944800,62.757,62.797,62.657,62.707,359
1748945700,62.707,62.787,62.687,62.777,258
1748946600,62.767,62.927,62.757,62.917,331
1748947500,62.917,63.027,62.897,63.007,239
1748948400,63.017,63.097,62.977,63.047,311
1748949300,63.037,63.047,62.977,63.037,205
1748950200,63.037,63.127,63.027,63.077,233
1748951100,63.087,63.317,63.077,63.317,283
1748952000,63.327,63.647,63.307,63.497,663
1748952900,63.497,63.577,63.447,63.577,381
