path,repo_map_tag,mission_tier,referenced_by,risk_notes,suggested_next_step
.claude/commands/lock-check.md,A,P2,path_string(1),has_textual_refs,deprecate_merge_or_archive
.claude/commands/mc-anchors.md,A,P2,path_string(1),has_textual_refs,deprecate_merge_or_archive
.claude/commands/skew-audit.md,A,P2,path_string(1),has_textual_refs,deprecate_merge_or_archive
.claude/settings.json,A,P2,path_string(2),has_textual_refs,deprecate_merge_or_archive
.github/workflows/manifest-check.yml,A,P0,path_string(4),has_textual_refs,keep
.github/workflows/pylint.yml,A,P0,path_string(1),has_textual_refs,keep
.github/workflows/tests.yml,A,P0,path_string(1),has_textual_refs,keep
.gitignore,A,P0,path_string(4),has_textual_refs,keep
CHANGELOG.md,A,P0,path_string(13),has_textual_refs,keep
CLAUDE.md,A,P0,path_string(55),has_textual_refs,keep
README.md,A,P0,path_string(13),has_textual_refs,keep
REPO_MAP.md,A,P0,path_string(7),has_textual_refs,keep
accounts.py,A,P0,path_string(16),has_textual_refs,keep
analysis/oanda_stage1/__init__.py,A,P2,basename(2),has_textual_refs,deprecate_merge_or_archive
analysis/oanda_stage1/aegis_stage1.py,A,P2,—,—,deprecate_merge_or_archive
analysis/oanda_stage1/bar_loader.py,A,P2,—,—,deprecate_merge_or_archive
analysis/oanda_stage1/guardian_stage1.py,A,P2,—,—,deprecate_merge_or_archive
analysis/oanda_stage1/permutation.py,A,P2,path_string(1),has_textual_refs,deprecate_merge_or_archive
analysis/oanda_stage1/pine_indicators.py,A,P2,—,—,deprecate_merge_or_archive
analysis/oanda_stage1/post_exit_excursion.py,A,P2,—,—,deprecate_merge_or_archive
analysis/oanda_stage1/striker_stage1.py,A,P2,—,—,deprecate_merge_or_archive
analysis/oanda_stage1/tv_export_loader.py,A,P2,path_string(1),has_textual_refs,deprecate_merge_or_archive
analysis/time_to_pass.py,A,P0,path_string(7),has_textual_refs,keep
archive/analysis/Q-DJ30-1/build_calendar.py,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-1/corpus_check.py,X,P1,path_string(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-1/event_calendar.csv,X,P1,basename(3),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-1/per_trade_proximity.csv,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-1/results.json,X,P1,basename(17),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-1/run_tests.py,X,P1,path_string(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-1/tag_trades.py,X,P1,path_string(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-1/tz_check.py,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-2/PHASE_B_HALT.md,X,P1,path_string(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-2/baseline_repro.py,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-2/build_capped_pnl.py,X,P1,—,archived_tag_X,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-2/capped_pnl_1.5R.csv,X,P1,—,archived_tag_X,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-2/capped_pnl_2.0R.csv,X,P1,—,archived_tag_X,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-2/capped_pnl_2.5R.csv,X,P1,—,archived_tag_X,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-2/capped_pnl_3.0R.csv,X,P1,—,archived_tag_X,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-2/capped_pnl_3.5R.csv,X,P1,—,archived_tag_X,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-2/phase_c_survivors.json,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-2/regime_bootstrap.py,X,P1,path_string(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-2/regime_bootstrap_1.5R.json,X,P1,—,archived_tag_X,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-2/sweep_cap_levels.py,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-2/sweep_results.csv,X,P1,basename(5),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-2/verdict_pre_registration.md,X,P1,path_string(4),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-3/aggregate_m15_to_daily.py,X,P1,path_string(3),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-3/corpus_check.py,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-3/diagnose_missing.py,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-3/dj30_daily_gap.csv,X,P1,path_string(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-3/half_panel_results.json,X,P1,basename(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-3/half_panel_sanity.py,X,P1,path_string(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-3/per_trade_gap.csv,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-3/results.json,X,P1,path_string(1),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
archive/analysis/Q-DJ30-3/run_tests.py,X,P1,path_string(2),archived_tag_X; has_textual_refs,externalize_or_delete_after_audit
