utc_window,ret_XAUUSD,ret_US30USD,ret_USDJPY,sigma_threshold,feed,panel_window,canonical_status,threshold_sigma,long_only_universe
2022-01-10 12:00:00+00:00,-0.0011196887157437264,-0.0011594908374136393,-0.00048574849592412385,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2022-01-10 12:45:00+00:00,-0.001998626435858838,-0.0017983725429610653,-0.0006332380796348922,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2022-01-12 16:00:00+00:00,-0.001135593853777976,-0.0028122123611145377,-0.00034834102938663056,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2022-01-14 12:15:00+00:00,-0.000998535199033666,-0.0012477888031394936,-0.0004833698884371524,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2022-01-18 08:15:00+00:00,-0.001242022370105382,-0.0020854889770520703,-0.0006274291298081886,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2022-01-18 12:30:00+00:00,-0.0008158833077996074,-0.001149673591326845,-0.00043628876026901604,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2022-01-21 01:00:00+00:00,-0.0009685810501806894,-0.0014149665367794914,-0.00037790736446306295,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2022-01-21 17:00:00+00:00,-0.000793219244037762,-0.0020790988823667055,-0.0003869458587912428,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2022-01-24 13:45:00+00:00,-0.0014101264644624841,-0.0034904255018120525,-0.000439490900822833,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2022-01-25 01:30:00+00:00,-0.001045987138378981,-0.0016102450172903106,-0.0006322111795844337,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2022-01-25 08:15:00+00:00,-0.0008503020714460185,-0.004094390835676235,-0.00040400847210754026,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2022-01-26 14:00:00+00:00,-0.0020328382182478637,-0.002815678972823157,-0.0005950766336749645,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
