exit_reason,pnl_price,bars_held,atr_at_entry,mfe_price,mae_price,mfe_R,mae_R,sim_R,sim_pnl_pct,timestamp_utc,block_TueH10,block_EOM,block_session,block_hour,block_day,block_vol,strategy,block_TueH10_cohort_n,block_EOM_cohort_n,block_session_cohort_n,block_hour_cohort_n,block_day_cohort_n,block_vol_cohort_n,thin_cohort_any,feed,panel_window,canonical_status,simulation_simplifications
stop_or_be,0.0052408408824362596,1,0.03493893921628729,0.01099999999999568,0.03699999999999193,0.22171477002442197,0.7457678628095495,0.10563380281676367,0.1584507042251455,2022-01-03T09:00:00+00:00,0,0,1,0,0,1,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.005343954520213856,1,0.03562636346806099,0.027999999999991587,0.016000000000005343,0.553475234058802,0.31627156231951603,0.10563380281699447,0.1584507042254917,2022-01-03T09:15:00+00:00,0,0,1,0,0,1,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-0.051215255275977256,3,0.03606708118026814,0.006000000000000227,0.06399999999999295,0.11715259384471219,1.249627667676745,-0.9999999999999316,-1.4999999999998974,2022-01-03T09:30:00+00:00,0,0,1,0,0,1,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.00548257657995066,1,0.03655051053298321,0.02400000000000091,0.02199999999999136,0.4624123768518369,0.42387801211400133,0.10563380281696265,0.15845070422544397,2022-01-03T10:00:00+00:00,0,0,1,0,0,1,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.005853118036782234,1,0.039020786911846794,0.014000000000010004,0.08399999999998897,0.2526641749141981,1.5159850494839062,0.10563380281699554,0.15845070422549332,2022-01-03T10:45:00+00:00,0,0,1,0,0,1,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.006318743403255667,1,0.04212495602174954,0.04099999999999682,0.016999999999995907,0.685418862436555,0.2841980649126716,0.10563380281678834,0.1584507042251825,2022-01-03T11:00:00+00:00,0,0,1,0,0,1,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.007574075700105709,1,0.05049383800072823,0.058000000000006935,0.02599999999999625,0.8089119789616909,0.36261571470686915,0.10563380281685225,0.15845070422527838,2022-01-03T13:00:00+00:00,0,0,1,0,0,1,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.012165940358727312,1,0.0811062690582032,0.031999999999996476,0.045000000000001705,0.27784795835487774,0.3907236914366047,0.1056338028168739,0.15845070422531085,2022-01-04T16:00:00+00:00,0,0,0,1,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.008407341216710051,1,0.05604894144475067,0.023000000000010346,0.1039999999999992,0.2889828546461478,1.306705081877636,0.10563380281686938,0.15845070422530405,2022-01-05T01:30:00+00:00,0,0,1,0,0,1,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.008967481152680534,1,0.05978320768450114,0.04099999999999682,0.03499999999999659,0.48296571152542717,0.41228780252169794,0.10563380281696459,0.15845070422544688,2022-01-05T01:45:00+00:00,0,0,1,0,0,1,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.00887900216530113,2,0.05919334776866162,0.03100000000000591,0.07899999999999352,0.36880809649112245,0.9398657942835718,0.10563380281692387,0.15845070422538582,2022-01-05T09:15:00+00:00,0,0,1,0,0,1,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.009114317840811736,1,0.06076211893873199,0.03200000000001069,0.012999999999991019,0.3708759941426005,0.15066837262027705,0.10563380281692387,0.15845070422538582,2022-01-05T09:30:00+00:00,0,0,1,0,0,1,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
