trade_id,entry_utc,exit_utc,entry_price,exit_price,exit_signal,entry_atr,hold_bars,mfe_price,mae_price,mfe_atr,mae_atr,mfe_R,mae_R,time_to_mfe_bars,time_to_mae_bars,net_pnl_pct,net_pnl_R,feed,panel_window,canonical_status,strategy
1,2022-01-04T15:15:00+00:00,2022-01-04T15:45:00+00:00,36929.6,36879.5,Exit Long,39.467184362936756,2,20.400000000001455,61.19999999999709,0.516885111752712,1.5506553352579517,0.06,0.14,1,0,-0.14,-0.14,OANDA,2022-01-02_2026-04-19,PROXY,striker
2,2022-01-07T16:45:00+00:00,2022-01-07T19:15:00+00:00,36366.6,36283.1,Exit Long,66.226486301736,10,30.200000000004366,99.19999999999709,0.45601090570333835,1.4978901273431555,0.03,0.23,0,0,-0.23,-0.23,OANDA,2022-01-02_2026-04-19,PROXY,striker
3,2022-01-28T16:15:00+00:00,2022-01-28T17:15:00+00:00,34233.0,34240.2,Exit Long,151.9530316238671,4,175.40000000000146,76.19999999999709,1.154304051229285,0.5014707451748428,0.51,0.14,3,0,0.02,0.02,OANDA,2022-01-02_2026-04-19,PROXY,striker
4,2022-02-04T14:30:00+00:00,2022-02-04T15:00:00+00:00,35139.6,35031.8,Exit Long,85.6823376404325,2,30.80000000000291,184.59999999999854,0.3594673166978202,2.1544696968315202,0.07,0.4,0,2,-0.31,-0.31,OANDA,2022-01-02_2026-04-19,PROXY,striker
5,2022-02-25T15:15:00+00:00,2022-02-25T18:00:00+00:00,33572.4,33881.2,Exit Long,130.95192133634674,11,429.79999999999563,171.59999999999854,3.2821206104801246,1.3104045992517226,1.28,0.28,9,0,0.92,0.92,OANDA,2022-01-02_2026-04-19,PROXY,striker
6,2022-02-25T16:45:00+00:00,2022-02-25T18:00:00+00:00,33905.0,33881.2,Exit Long Add,124.62370888518481,5,97.19999999999709,131.8000000000029,0.7799478997174363,1.0575836747197884,0.29,0.15,3,0,-0.07,-0.07,OANDA,2022-01-02_2026-04-19,PROXY,striker
7,2022-03-15T14:30:00+00:00,2022-03-15T15:45:00+00:00,33254.2,33258.7,Exit Long,98.56757775989175,5,122.80000000000291,78.19999999999709,1.245845771914379,0.7933643270659487,0.37,0.24,5,3,0.01,0.01,OANDA,2022-01-02_2026-04-19,PROXY,striker
8,2022-03-15T16:15:00+00:00,2022-03-15T17:30:00+00:00,33398.2,33265.9,Exit Long,105.20516295561404,5,32.400000000001455,137.59999999999854,0.30796967648508833,1.3079206013686975,0.1,0.4,1,5,-0.4,-0.4,OANDA,2022-01-02_2026-04-19,PROXY,striker
9,2022-03-18T14:00:00+00:00,2022-03-18T14:30:00+00:00,34394.0,34306.0,Exit Long,69.94096632051523,2,52.400000000001455,104.19999999999709,0.7492032603591777,1.489827857431717,0.07,0.26,0,2,-0.26,-0.26,OANDA,2022-01-02_2026-04-19,PROXY,striker
10,2022-03-18T16:30:00+00:00,2022-03-20T22:00:00+00:00,34469.6,34718.2,Exit Long,71.49193928005705,18,314.20000000000437,57.799999999995634,4.394901063869331,0.8084827545882388,0.91,0.12,17,0,0.72,0.72,OANDA,2022-01-02_2026-04-19,PROXY,striker
11,2022-03-18T19:00:00+00:00,2022-03-20T22:00:00+00:00,34581.6,34718.2,Exit Long Add,59.62081982522456,8,202.20000000000437,66.19999999999709,3.3914327342821435,1.1103503808578794,0.58,0.02,7,0,0.4,0.4,OANDA,2022-01-02_2026-04-19,PROXY,striker
12,2022-03-25T14:15:00+00:00,2022-03-25T14:45:00+00:00,34882.0,34883.9,Exit Long,47.330124235527364,2,41.400000000001455,63.599999999998545,0.8747071905829779,1.343753075388265,0.12,0.01,1,0,0.01,0.01,OANDA,2022-01-02_2026-04-19,PROXY,striker
13,2022-04-08T14:45:00+00:00,2022-04-08T16:45:00+00:00,34851.2,34854.3,Exit Long,69.93826580957727,8,74.80000000000291,166.29999999999563,1.0695146517310397,2.377811317952678,0.21,0.17,6,0,0.01,0.01,OANDA,2022-01-02_2026-04-19,PROXY,striker
