date,stage,rolling_pass_count,rolling_universe_count,rolling_rate,strategy,feed,panel_window,canonical_status,window_days
2022-01-12,s1_signal_raw,63,776,0.08118556701030928,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-12,s2_in_session,10,776,0.01288659793814433,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-12,s3_hour_pass,5,776,0.006443298969072165,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-12,s4_day_pass,2,776,0.002577319587628866,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-12,s5_vol_pass,2,776,0.002577319587628866,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-12,s6_not_block_TueH10,2,776,0.002577319587628866,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-12,s7_not_block_EOM,2,776,0.002577319587628866,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-13,s1_signal_raw,72,872,0.08256880733944955,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-13,s2_in_session,12,872,0.013761467889908258,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-13,s3_hour_pass,6,872,0.006880733944954129,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-13,s4_day_pass,2,872,0.0022935779816513763,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-13,s5_vol_pass,2,872,0.0022935779816513763,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-13,s6_not_block_TueH10,2,872,0.0022935779816513763,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-13,s7_not_block_EOM,2,872,0.0022935779816513763,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-14,s1_signal_raw,80,960,0.08333333333333333,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-14,s2_in_session,12,960,0.0125,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-14,s3_hour_pass,6,960,0.00625,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-14,s4_day_pass,2,960,0.0020833333333333333,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-14,s5_vol_pass,2,960,0.0020833333333333333,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-14,s6_not_block_TueH10,2,960,0.0020833333333333333,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-14,s7_not_block_EOM,2,960,0.0020833333333333333,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-16,s1_signal_raw,80,968,0.08264462809917356,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-16,s2_in_session,12,968,0.012396694214876033,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-16,s3_hour_pass,6,968,0.006198347107438017,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-16,s4_day_pass,2,968,0.002066115702479339,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-16,s5_vol_pass,2,968,0.002066115702479339,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-16,s6_not_block_TueH10,2,968,0.002066115702479339,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-16,s7_not_block_EOM,2,968,0.002066115702479339,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-17,s1_signal_raw,83,1064,0.07800751879699248,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-17,s2_in_session,12,1064,0.011278195488721804,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-17,s3_hour_pass,6,1064,0.005639097744360902,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-17,s4_day_pass,2,1064,0.0018796992481203006,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-17,s5_vol_pass,2,1064,0.0018796992481203006,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-17,s6_not_block_TueH10,2,1064,0.0018796992481203006,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-17,s7_not_block_EOM,2,1064,0.0018796992481203006,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-18,s1_signal_raw,93,1160,0.08017241379310344,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-18,s2_in_session,12,1160,0.010344827586206896,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-18,s3_hour_pass,6,1160,0.005172413793103448,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-18,s4_day_pass,2,1160,0.0017241379310344827,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-18,s5_vol_pass,2,1160,0.0017241379310344827,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-18,s6_not_block_TueH10,2,1160,0.0017241379310344827,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-18,s7_not_block_EOM,2,1160,0.0017241379310344827,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-19,s1_signal_raw,102,1256,0.08121019108280254,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-19,s2_in_session,14,1256,0.011146496815286623,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-19,s3_hour_pass,8,1256,0.006369426751592357,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-19,s4_day_pass,4,1256,0.0031847133757961785,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-19,s5_vol_pass,4,1256,0.0031847133757961785,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-19,s6_not_block_TueH10,4,1256,0.0031847133757961785,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-19,s7_not_block_EOM,4,1256,0.0031847133757961785,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-20,s1_signal_raw,114,1352,0.08431952662721894,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-20,s2_in_session,14,1352,0.010355029585798817,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-20,s3_hour_pass,8,1352,0.005917159763313609,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-20,s4_day_pass,4,1352,0.0029585798816568047,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-20,s5_vol_pass,4,1352,0.0029585798816568047,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-20,s6_not_block_TueH10,4,1352,0.0029585798816568047,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-20,s7_not_block_EOM,4,1352,0.0029585798816568047,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-21,s1_signal_raw,122,1440,0.08472222222222223,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-21,s2_in_session,14,1440,0.009722222222222222,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-21,s3_hour_pass,8,1440,0.005555555555555556,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-21,s4_day_pass,4,1440,0.002777777777777778,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-21,s5_vol_pass,4,1440,0.002777777777777778,aegis,OANDA,2022-01-02_2026-04-19,PROXY,90
