date,stage,rolling_pass_count,rolling_universe_count,rolling_rate,strategy,feed,panel_window,canonical_status,window_days
2022-01-12,s1_signal_raw,60,740,0.08108108108108109,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-12,s2_atr_expanding,14,740,0.01891891891891892,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-12,s3_session_pass,4,740,0.005405405405405406,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-12,s4_warmup_pass,4,740,0.005405405405405406,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-12,s5_dow_pass,2,740,0.002702702702702703,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-12,s6_body_pass,2,740,0.002702702702702703,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-12,s7_prev_bullish,2,740,0.002702702702702703,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-13,s1_signal_raw,67,832,0.08052884615384616,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-13,s2_atr_expanding,16,832,0.019230769230769232,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-13,s3_session_pass,6,832,0.007211538461538462,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-13,s4_warmup_pass,6,832,0.007211538461538462,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-13,s5_dow_pass,2,832,0.002403846153846154,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-13,s6_body_pass,2,832,0.002403846153846154,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-13,s7_prev_bullish,2,832,0.002403846153846154,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-14,s1_signal_raw,74,920,0.08043478260869565,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-14,s2_atr_expanding,19,920,0.020652173913043477,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-14,s3_session_pass,6,920,0.006521739130434782,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-14,s4_warmup_pass,6,920,0.006521739130434782,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-14,s5_dow_pass,2,920,0.002173913043478261,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-14,s6_body_pass,2,920,0.002173913043478261,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-14,s7_prev_bullish,2,920,0.002173913043478261,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-16,s1_signal_raw,74,924,0.08008658008658008,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-16,s2_atr_expanding,19,924,0.020562770562770564,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-16,s3_session_pass,6,924,0.006493506493506494,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-16,s4_warmup_pass,6,924,0.006493506493506494,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-16,s5_dow_pass,2,924,0.0021645021645021645,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-16,s6_body_pass,2,924,0.0021645021645021645,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-16,s7_prev_bullish,2,924,0.0021645021645021645,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-17,s1_signal_raw,79,1000,0.079,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-17,s2_atr_expanding,19,1000,0.019,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-17,s3_session_pass,6,1000,0.006,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-17,s4_warmup_pass,6,1000,0.006,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-17,s5_dow_pass,2,1000,0.002,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-17,s6_body_pass,2,1000,0.002,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-17,s7_prev_bullish,2,1000,0.002,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-18,s1_signal_raw,82,1092,0.07509157509157509,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-18,s2_atr_expanding,21,1092,0.019230769230769232,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-18,s3_session_pass,6,1092,0.005494505494505495,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-18,s4_warmup_pass,6,1092,0.005494505494505495,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-18,s5_dow_pass,2,1092,0.0018315018315018315,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-18,s6_body_pass,2,1092,0.0018315018315018315,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-18,s7_prev_bullish,2,1092,0.0018315018315018315,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-19,s1_signal_raw,90,1184,0.07601351351351351,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-19,s2_atr_expanding,21,1184,0.017736486486486486,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-19,s3_session_pass,6,1184,0.005067567567567568,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-19,s4_warmup_pass,6,1184,0.005067567567567568,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-19,s5_dow_pass,2,1184,0.0016891891891891893,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-19,s6_body_pass,2,1184,0.0016891891891891893,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-19,s7_prev_bullish,2,1184,0.0016891891891891893,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-20,s1_signal_raw,98,1276,0.0768025078369906,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-20,s2_atr_expanding,22,1276,0.017241379310344827,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-20,s3_session_pass,7,1276,0.0054858934169279,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-20,s4_warmup_pass,7,1276,0.0054858934169279,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-20,s5_dow_pass,2,1276,0.001567398119122257,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-20,s6_body_pass,2,1276,0.001567398119122257,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-20,s7_prev_bullish,2,1276,0.001567398119122257,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-21,s1_signal_raw,100,1364,0.07331378299120235,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-21,s2_atr_expanding,22,1364,0.016129032258064516,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-21,s3_session_pass,7,1364,0.005131964809384164,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
2022-01-21,s4_warmup_pass,7,1364,0.005131964809384164,striker,OANDA,2022-01-02_2026-04-19,PROXY,90
