month,n_bars,atr14_mean,atr14_median,atr14_p95,ret_std,ret_p99_abs,range_exp_freq,n_session_opens,gap_abs_mean,gap_abs_max,session_gap_n,session_gap_mean,session_gap_p95,session_gap_max,instrument,feed,panel_window,canonical_status
2022-01,2024,0.06191341655802938,0.061403015700482684,0.0876559149646093,0.00036911295751400835,0.0011702705427577029,0.11956521739130435,4,0.0019240837696337,0.07399999999999807,4,0.038750000000000284,0.07159999999999939,0.07399999999999807,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2022-02,1920,0.06125328205144377,0.056941584773133117,0.10100811227300872,0.000387769411919098,0.0014119486528130765,0.115625,4,0.0019915254237286976,0.12700000000000955,4,0.07700000000000173,0.1210000000000086,0.12700000000000955,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2022-03,2212,0.08626396947428956,0.07178875192953793,0.19198009401746474,0.0005546473577976895,0.002111050069194283,0.12793851717902352,4,0.0019622641509432375,0.1150000000000091,4,0.047750000000000625,0.0930000000000021,0.09600000000000364,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2022-04,2004,0.11029663658543529,0.10424072088376253,0.18667535681541372,0.000650464686718033,0.002265426534960746,0.12974051896207583,4,0.0022066616199844344,0.22100000000000364,4,0.08375000000000199,0.19775000000000342,0.22100000000000364,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2022-05,2113,0.11117295109498804,0.10931560154752491,0.16955693812684164,0.0006694578778059742,0.0019195820522023238,0.1273071462375769,6,0.0030393700787402457,0.9039999999999964,6,0.1841666666666697,0.698249999999998,0.9039999999999964,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2022-06,2106,0.12909168617472788,0.1205583195705487,0.22784620235656183,0.0007086697263856299,0.0023640407074176167,0.1305792972459639,4,0.0025872053872057596,0.0759999999999934,4,0.04700000000000415,0.06935000000001137,0.07400000000001228,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2022-07,2016,0.11574032232294723,0.11007250198283441,0.1936572138260941,0.0006273775985749591,0.002202045615136981,0.12698412698412698,5,0.0032090322580644545,0.09499999999999886,5,0.05179999999999722,0.07439999999999714,0.0759999999999934,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2022-08,2200,0.12682703275745333,0.11906529087460413,0.2149413093945357,0.0007890029668601791,0.002359228839639709,0.12818181818181817,4,0.0033741820345033376,0.4240000000000066,4,0.14424999999999955,0.37120000000000586,0.4240000000000066,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2022-09,2100,0.14234220111987145,0.12409826799527617,0.25419985406869805,0.0008952950622841417,0.002890752719270638,0.12142857142857143,4,0.0033490863264024986,0.4609999999999843,4,0.19999999999999574,0.4374499999999869,0.4609999999999843,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2022-10,2028,0.11849407618249241,0.09633002756273304,0.21890613309300844,0.0009529788463607245,0.0023012912045122422,0.11834319526627218,5,0.00353245033112615,0.2540000000000191,5,0.11400000000001001,0.23840000000001849,0.2540000000000191,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2022-11,2108,0.1631278382867717,0.1505566475948351,0.28431602585407895,0.000930074805958989,0.0029602887004830506,0.11764705882352941,4,0.0038439375750304533,0.41200000000000614,4,0.23075000000000756,0.39880000000000276,0.41200000000000614,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2022-12,2008,0.15507188499369381,0.1415461820330179,0.27471501955265015,0.001105196846470882,0.0028988540732878955,0.12151394422310757,4,0.00397427652733176,0.7810000000000059,4,0.2707500000000067,0.699400000000004,0.7810000000000059,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2023-01,2116,0.15460824919310484,0.15057219860482068,0.25966132190302893,0.000889076678626341,0.002783353783101412,0.11483931947069943,5,0.003600593471809528,0.2740000000000009,5,0.1412000000000063,0.254000000000002,0.2740000000000009,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2023-02,1920,0.12309836747551367,0.1128236916197029,0.21233155116404967,0.0007162474961523922,0.0022354915453885764,0.115625,4,0.004012328767123816,1.1660000000000252,4,0.3467500000000072,1.0073000000000216,1.1660000000000252,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2023-03,2200,0.1521836822111339,0.13718956802707294,0.29076747478437526,0.0008410591992835429,0.0030614784913141416,0.10636363636363637,4,0.00367620206938537,0.6680000000000064,4,0.2427500000000009,0.5915000000000076,0.6680000000000064,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
