trade_id,leg,utc,boundary,gap_minutes,fill_price,prev_close,bar_open,bar_close,delta_vs_prev_close,delta_vs_bar_open,delta_vs_bar_close,cell_n,thin_cohort,feed,panel_window,canonical_status,strategy
1,entry,2022-01-12T15:15:00+00:00,intra,15.0,115.064,115.064,115.062,114.929,0.0,0.001999999999995339,0.1349999999999909,123,0,OANDA,2022-01-02_2026-04-19,PROXY,aegis
1,exit,2022-01-12T15:15:00+00:00,intra,15.0,114.945,115.064,115.062,114.929,-0.11899999999999977,-0.11700000000000443,0.015999999999991132,123,0,OANDA,2022-01-02_2026-04-19,PROXY,aegis
2,entry,2022-01-19T15:15:00+00:00,intra,15.0,114.248,114.246,114.248,114.284,0.0020000000000095497,0.0,-0.036000000000001364,123,0,OANDA,2022-01-02_2026-04-19,PROXY,aegis
2,exit,2022-01-19T16:15:00+00:00,intra,15.0,114.254,114.272,114.274,114.248,-0.018000000000000682,-0.01999999999999602,0.006000000000000227,123,0,OANDA,2022-01-02_2026-04-19,PROXY,aegis
3,entry,2022-02-28T15:15:00+00:00,intra,15.0,115.2,115.198,115.2,115.276,0.0020000000000095497,0.0,-0.0759999999999934,123,0,OANDA,2022-01-02_2026-04-19,PROXY,aegis
3,exit,2022-02-28T15:45:00+00:00,intra,15.0,115.206,115.342,115.344,115.154,-0.13599999999999568,-0.13799999999999102,0.05200000000000671,123,0,OANDA,2022-01-02_2026-04-19,PROXY,aegis
4,entry,2022-03-01T18:15:00+00:00,intra,15.0,114.788,114.786,114.784,114.766,0.001999999999995339,0.003999999999990678,0.02199999999999136,123,0,OANDA,2022-01-02_2026-04-19,PROXY,aegis
4,exit,2022-03-01T19:15:00+00:00,intra,15.0,114.795,114.806,114.806,114.816,-0.01099999999999568,-0.01099999999999568,-0.021000000000000796,123,0,OANDA,2022-01-02_2026-04-19,PROXY,aegis
5,entry,2022-04-13T16:15:00+00:00,intra,15.0,125.392,125.39,125.389,125.483,0.001999999999995339,0.0030000000000001137,-0.09100000000000819,123,0,OANDA,2022-01-02_2026-04-19,PROXY,aegis
5,exit,2022-04-13T23:30:00+00:00,intra,15.0,125.407,125.485,125.487,125.475,-0.07800000000000296,-0.0799999999999983,-0.06799999999999784,123,0,OANDA,2022-01-02_2026-04-19,PROXY,aegis
6,entry,2022-04-25T14:15:00+00:00,intra,15.0,127.716,127.714,127.715,127.916,0.001999999999995339,0.000999999999990564,-0.20000000000000284,123,0,OANDA,2022-01-02_2026-04-19,PROXY,aegis
