trade_id,leg,utc,boundary,gap_minutes,fill_price,prev_close,bar_open,bar_close,delta_vs_prev_close,delta_vs_bar_open,delta_vs_bar_close,cell_n,thin_cohort,feed,panel_window,canonical_status,strategy
1,entry,2022-01-04T15:15:00+00:00,intra,15.0,36929.6,36895.0,36896.4,36930.0,34.599999999998545,33.19999999999709,-0.4000000000014552,233,0,OANDA,2022-01-02_2026-04-19,PROXY,striker
1,exit,2022-01-04T15:45:00+00:00,intra,15.0,36879.5,36933.4,36935.4,36897.0,-53.900000000001455,-55.900000000001455,-17.5,225,0,OANDA,2022-01-02_2026-04-19,PROXY,striker
2,entry,2022-01-07T16:45:00+00:00,intra,15.0,36366.6,36273.8,36272.4,36365.4,92.79999999999563,94.19999999999709,1.1999999999970896,233,0,OANDA,2022-01-02_2026-04-19,PROXY,striker
2,exit,2022-01-07T19:15:00+00:00,intra,15.0,36283.1,36351.4,36352.8,36317.4,-68.30000000000291,-69.70000000000437,-34.30000000000291,225,0,OANDA,2022-01-02_2026-04-19,PROXY,striker
3,entry,2022-01-28T16:15:00+00:00,intra,15.0,34233.0,34160.4,34162.4,34233.4,72.59999999999854,70.59999999999854,-0.4000000000014552,233,0,OANDA,2022-01-02_2026-04-19,PROXY,striker
3,exit,2022-01-28T17:15:00+00:00,intra,15.0,34240.2,34320.4,34319.8,34262.4,-80.20000000000437,-79.60000000000582,-22.200000000004366,225,0,OANDA,2022-01-02_2026-04-19,PROXY,striker
4,entry,2022-02-04T14:30:00+00:00,intra,15.0,35139.6,35039.4,35041.9,35139.4,100.19999999999709,97.69999999999709,0.19999999999708962,233,0,OANDA,2022-01-02_2026-04-19,PROXY,striker
4,exit,2022-02-04T15:00:00+00:00,intra,15.0,35031.8,35033.4,35033.9,35068.4,-1.5999999999985448,-2.099999999998545,-36.599999999998545,225,0,OANDA,2022-01-02_2026-04-19,PROXY,striker
5,entry,2022-02-25T15:15:00+00:00,intra,15.0,33572.4,33441.8,33443.8,33572.2,130.59999999999854,128.59999999999854,0.20000000000436557,233,0,OANDA,2022-01-02_2026-04-19,PROXY,striker
5,exit,2022-02-25T18:00:00+00:00,intra,15.0,33881.2,33940.8,33942.2,33930.8,-59.60000000000582,-61.0,-49.60000000000582,225,0,OANDA,2022-01-02_2026-04-19,PROXY,striker
6,entry,2022-02-25T16:45:00+00:00,intra,15.0,33905.0,33774.8,33777.2,33904.8,130.1999999999971,127.80000000000291,0.19999999999708962,233,0,OANDA,2022-01-02_2026-04-19,PROXY,striker
6,exit,2022-02-25T18:00:00+00:00,intra,15.0,33881.2,33940.8,33942.2,33930.8,-59.60000000000582,-61.0,-49.60000000000582,225,0,OANDA,2022-01-02_2026-04-19,PROXY,striker
7,entry,2022-03-15T14:30:00+00:00,intra,15.0,33254.2,33219.0,33220.6,33254.6,35.19999999999709,33.599999999998545,-0.4000000000014552,233,0,OANDA,2022-01-02_2026-04-19,PROXY,striker
7,exit,2022-03-15T15:45:00+00:00,intra,15.0,33258.7,33309.0,33309.6,33246.6,-50.30000000000291,-50.900000000001455,12.099999999998545,225,0,OANDA,2022-01-02_2026-04-19,PROXY,striker
